Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R32,2,(2)Rafael Nadal[ESP] [yr|ev],d.,74,Jo-Wilfried Tsonga[FRA] [yr|ev],7-6(3) 6-2 6-1,1.72,2.4%,73.8%,80.6%,68.2%,2/2,9.1%,71.4%,65.5%,50.0%,2/6,2:03,1
R64,1,(1)Roger Federer[SUI] [yr|ev],d.,120,(Q)Paul Capdeville[CHI] [yr|ev],6-1 6-4 6-4,1.81,6.9%,65.3%,74.5%,76.0%,0/1,6.0%,60.7%,64.7%,39.4%,4/9,1:28,1
R64,184,(WC)John Isner[USA] [yr|ev],d.,146,(Q)Rik De Voest[RSA] [yr|ev],6-3 6-3 7-6(4),1.47,14.9%,69.1%,72.3%,72.4%,4/5,7.3%,64.6%,61.3%,55.9%,7/11,1:54,N/A
R64,60,Feliciano Lopez[ESP] [yr|ev],d.,39,Igor Andreev[RUS] [yr|ev],6-7(3) 7-5 3-6 6-4 7-6(5),1.10,8.4%,64.9%,79.0%,59.3%,1/3,4.3%,69.3%,71.7%,64.0%,1/4,3:32,12
R64,223,(WC)Donald Young[USA] [yr|ev],d.,13,(13)Richard Gasquet[FRA] [yr|ev],W/O,,,,,,,,,,,,,N/A
R64,9,(9)Tomas Berdych[CZE] [yr|ev],d.,87,Simone Bolelli[ITA] [yr|ev],7-5 6-3 6-3,2.70,18.6%,58.6%,90.2%,79.3%,0/0,7.2%,73.5%,67.2%,45.5%,4/8,1:35,4
R64,34,Fernando Verdasco[ESP] [yr|ev],d.,41,Gilles Simon[FRA] [yr|ev],6-0 6-4 6-3,1.79,7.6%,77.3%,68.6%,73.3%,3/5,2.4%,50.6%,47.6%,43.9%,9/17,1:33,7
R64,68,Thomas Johansson[SWE] [yr|ev],d.,42,Arnaud Clement[FRA] [yr|ev],6-4 7-6(4) 6-7(9) 7-6(1),1.20,11.5%,65.0%,83.3%,50.9%,9/11,11.8%,53.3%,75.3%,56.3%,2/5,3:43,7
R64,5,(5)Andy Roddick[USA] [yr|ev],d.,70,Jose Acasuso[ARG] [yr|ev],4-6 6-1 6-2 RET,2.06,19.4%,66.1%,85.4%,66.7%,0/1,6.8%,52.7%,71.8%,40.0%,4/8,1:32,1
R64,4,(4)Nikolay Davydenko[RUS] [yr|ev],d.,187,Nicolas Kiefer[GER] [yr|ev],6-2 6-2 6-2,2.13,7.8%,82.8%,79.2%,63.6%,2/2,7.9%,52.6%,62.5%,36.1%,6/12,1:44,3
R64,28,(28)Nicolas Almagro[ESP] [yr|ev],d.,85,Luis Horna[PER] [yr|ev],6-4 6-2 2-1 RET,1.68,19.0%,51.7%,83.3%,64.3%,4/4,4.8%,59.7%,62.2%,48.0%,1/5,1:16,9
R64,19,(19)Andy Murray[GBR] [yr|ev],d.,55,Jonas Bjorkman[SWE] [yr|ev],5-7 6-3 6-1 4-6 6-1,1.19,11.3%,53.6%,70.4%,48.6%,11/16,4.0%,60.5%,59.8%,41.4%,9/19,3:35,1
R64,43,Hyung Taik Lee[KOR] [yr|ev],d.,14,(14)Guillermo Canas[ARG] [yr|ev],7-5 7-5 6-3,1.25,3.0%,62.6%,74.2%,51.4%,3/6,16.0%,47.0%,76.6%,39.6%,6/12,2:22,36
R64,10,(10)Tommy Haas[GER] [yr|ev],d.,290,(Q)Philipp Petzschner[GER] [yr|ev],4-6 6-3 6-2 7-5,1.20,6.1%,63.4%,74.7%,50.0%,11/14,10.3%,49.1%,71.9%,45.8%,5/11,2:34,2
R64,78,Sebastien Grosjean[FRA] [yr|ev],d.,106,Max Mirnyi[BLR] [yr|ev],6-4 6-7(6) 6-4 6-3,1.45,10.8%,58.3%,88.6%,54.0%,1/2,10.3%,50.0%,75.0%,50.0%,3/7,3:06,4
R64,63,Stefan Koubek[AUT] [yr|ev],d.,59,Michael Llodra[FRA] [yr|ev],6-1 6-3 6-3,1.80,10.8%,63.5%,78.7%,63.0%,5/6,5.6%,63.9%,47.8%,57.7%,2/8,1:23,20
R64,6,(6)James Blake[USA] [yr|ev],d.,44,Fabrice Santoro[FRA] [yr|ev],6-4 3-6 6-2 4-6 6-4,1.03,4.7%,49.0%,71.2%,47.4%,10/17,2.8%,64.1%,65.6%,44.2%,13/22,3:22,4
R64,8,(8)Tommy Robredo[ESP] [yr|ev],d.,40,Mardy Fish[USA] [yr|ev],6-4 3-6 6-4 6-7(7) 6-4,0.98,1.3%,75.7%,68.7%,62.2%,4/7,13.5%,54.2%,76.2%,57.7%,5/10,3:27,5
R64,88,Ernests Gulbis[LAT] [yr|ev],d.,84,Michael Berrer[GER] [yr|ev],7-6(4) 6-2 6-1,1.46,10.7%,61.9%,76.9%,59.4%,3/5,4.7%,62.4%,60.4%,50.0%,4/10,1:46,10
R64,17,(17)Carlos Moya[ESP] [yr|ev],d.,92,Igor Kunitsyn[RUS] [yr|ev],6-4 6-4 7-5,1.30,9.7%,62.1%,71.9%,56.4%,9/11,1.1%,55.8%,64.2%,45.2%,1/6,2:07,1
R64,38,Philipp Kohlschreiber[GER] [yr|ev],d.,11,(11)Mikhail Youzhny[RUS] [yr|ev],3-6 6-4 6-3 6-3,1.19,4.0%,50.4%,76.2%,54.8%,10/11,5.0%,59.2%,69.0%,44.9%,4/8,2:56,16
R64,58,Agustin Calleri[ARG] [yr|ev],d.,16,(16)Lleyton Hewitt[AUS] [yr|ev],4-6 6-4 6-4 6-2,1.26,10.3%,57.9%,78.1%,50.9%,11/14,8.8%,59.6%,70.6%,39.1%,5/11,2:41,16
R64,23,(23)Juan Monaco[ARG] [yr|ev],d.,118,(Q)Dudi Sela[ISR] [yr|ev],6-4 6-0 6-7(1) 6-4,1.19,4.5%,60.2%,61.3%,62.3%,9/12,2.6%,62.1%,61.1%,43.2%,5/13,2:31,10
R64,57,Juan Martin del Potro[ARG] [yr|ev],d.,33,(31)Jurgen Melzer[AUT] [yr|ev],6-3 6-1 6-4,1.56,15.7%,60.0%,73.8%,53.6%,0/3,5.7%,69.3%,52.5%,33.3%,5/13,1:35,3
R64,3,(3)Novak Djokovic[SRB] [yr|ev],d.,35,Radek Stepanek[CZE] [yr|ev],6-7(4) 7-6(5) 5-7 7-5 7-6(2),1.16,10.3%,55.4%,79.4%,62.8%,4/7,6.6%,62.4%,77.9%,50.0%,1/4,4:41,1
R64,64,Robby Ginepri[USA] [yr|ev],d.,94,Teymuraz Gabashvili[RUS] [yr|ev],6-2 6-3 6-1,2.04,14.0%,80.7%,76.1%,63.6%,0/2,9.0%,56.7%,57.9%,31.0%,4/12,1:15,15
R64,49,Stan Wawrinka[SUI] [yr|ev],d.,25,(25)Marat Safin[RUS] [yr|ev],6-3 6-3 6-3,1.93,15.9%,53.7%,79.5%,73.7%,4/4,5.2%,55.2%,67.9%,39.5%,6/10,1:56,3
R64,22,(20)Juan Ignacio Chela[ARG] [yr|ev],d.,153,(WC)Wayne Odesnik[USA] [yr|ev],6-3 6-1 7-5,1.54,3.8%,52.5%,81.0%,57.9%,0/1,10.1%,60.7%,63.0%,40.0%,8/14,1:51,15
R64,12,(12)Ivan Ljubicic[CRO] [yr|ev],d.,98,(Q)Andrei Pavel[ROU] [yr|ev],6-3 6-4 7-6(6),1.45,18.2%,50.5%,92.0%,55.1%,0/0,7.4%,63.9%,71.0%,46.2%,8/10,2:28,3
