Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R32,2,(2)Rafael Nadal[ESP] [yr|ev],d.,69,Cameron Norrie[GBR] [yr|ev],7-5 6-2 7-5,1.73,8.5%,68.3%,76.8%,69.2%,0/1,8.7%,71.2%,68.9%,23.3%,7/12,2:14,1
R64,1,(1)Novak Djokovic[SRB] [yr|ev],d.,64,Frances Tiafoe[USA] [yr|ev],6-3 6-7(3) 7-6(2) 6-3,1.46,21.7%,61.7%,83.8%,58.7%,1/3,15.5%,52.7%,74.4%,48.6%,9/14,3:30,1
R64,31,(27)Taylor Fritz[USA] [yr|ev],d.,38,Reilly Opelka[USA] [yr|ev],4-6 7-6(6) 6-7(4) 7-6(5) 6-2,1.01,9.0%,61.3%,75.4%,54.5%,14/16,23.2%,65.9%,75.4%,50.8%,10/13,4:07,4
R64,55,Marton Fucsovics[HUN] [yr|ev],d.,18,(17)Stan Wawrinka[SUI] [yr|ev],7-5 6-1 4-6 2-6 7-6(9),1.17,1.5%,56.7%,65.8%,65.5%,1/6,5.3%,58.2%,64.6%,53.5%,11/17,3:59,31
R64,14,(14)Milos Raonic[CAN] [yr|ev],d.,71,Corentin Moutet[FRA] [yr|ev],6-7(1) 6-1 6-1 6-4,2.41,29.9%,64.4%,92.9%,64.5%,0/0,2.7%,60.2%,61.8%,53.3%,10/16,2:25,3
R64,87,Pedro Martinez[ESP] [yr|ev],d.,86,Emil Ruusuvuori[FIN] [yr|ev],1-6 6-3 6-2 7-6(5),1.16,4.2%,67.5%,64.2%,53.8%,5/10,8.4%,64.7%,57.1%,50.0%,8/14,3:09,36
R64,27,(23)Dusan Lajovic[SRB] [yr|ev],d.,45,Alexander Bublik[KAZ] [yr|ev],6-4 7-6(4) 4-6 6-3,1.03,4.1%,70.1%,69.9%,50.0%,17/20,19.4%,55.0%,80.3%,41.4%,5/9,3:05,23
R64,36,(32)Adrian Mannarino[FRA] [yr|ev],d.,41,Miomir Kecmanovic[SRB] [yr|ev],6-1 6-2 6-4,1.70,13.3%,65.3%,81.6%,50.0%,2/3,6.0%,63.1%,56.6%,38.7%,10/16,1:50,17
R64,7,(6)Alexander Zverev[GER] [yr|ev],d.,172,(Q)Maxime Cressy[USA] [yr|ev],7-5 6-4 6-3,1.55,17.2%,71.3%,82.3%,60.0%,4/4,9.6%,61.5%,64.1%,60.0%,6/10,2:04,2
R64,3,(3)Dominic Thiem[AUT] [yr|ev],d.,70,Dominik Koepfer[GER] [yr|ev],6-4 6-0 6-2,2.09,10.4%,70.1%,80.9%,65.0%,2/2,1.4%,58.1%,60.5%,35.5%,6/12,1:39,3
