Player,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,M,PeakRank
Davide Sanguinetti,0.7238571428571429,0.2087142857142857,14.857142857142858,0.07585714285714286,5.857142857142857,0.03728571428571429,0.545,0.6987142857142857,0.4714285714285714,0.5932857142857142,18.571428571428573,0.5287142857142857,0.35085714285714287,16.714285714285715,0.4184285714285715,0.47628571428571426,0.8757142857142857,12.0,42.0
Denis Gremelmayr,0.667,0.15,16.0,0.125,7.0,0.055,0.5,0.672,0.516,0.594,7.0,0.0,0.348,7.0,0.429,0.466,0.86,1.0,59.0
Denis Istomin,0.7487,0.1628,19.6,0.0982,4.7,0.0248,0.6202,0.7015,0.4969,0.6231,20.8,0.6253,0.3382,15.6,0.3463,0.4835,0.9019999999999999,18.0,33.0
Denis Kudla,0.7136666666666667,0.1874444444444444,14.555555555555555,0.08177777777777778,8.666666666666666,0.04922222222222222,0.5698888888888889,0.6831111111111111,0.48566666666666664,0.5968888888888889,18.22222222222222,0.5944444444444444,0.3457777777777778,16.22222222222222,0.35833333333333334,0.47411111111111115,0.87,14.0,53.0
Denis Shapovalov,0.8258571428571428,0.2414285714285714,36.57142857142857,0.08957142857142857,24.285714285714285,0.07385714285714286,0.5981428571428572,0.7682857142857143,0.48000000000000004,0.6528571428571429,26.285714285714285,0.6077142857142858,0.37699999999999995,36.142857142857146,0.4018571428571428,0.5132857142857142,1.1028571428571428,22.0,10.0
Dennis Novak,0.6505000000000001,0.302,6.0,0.042499999999999996,8.5,0.057499999999999996,0.6214999999999999,0.6295,0.47350000000000003,0.5714999999999999,14.5,0.48350000000000004,0.4155,13.5,0.4915,0.494,0.97,2.0,85.0
Dennis Novikov,0.8540000000000001,0.175,41.0,0.154,16.0,0.06,0.496,0.765,0.522,0.643,15.0,0.6,0.33,32.0,0.21899999999999997,0.488,0.92,2.0,119.0
Dennis Van Scheppingen,0.5329999999999999,0.313,6.0,0.054000000000000006,12.0,0.107,0.527,0.644,0.321,0.491,15.0,0.5329999999999999,0.44299999999999995,13.0,0.385,0.467,0.87,1.0,
Devin Britton,0.5,0.14300000000000002,6.0,0.06,9.0,0.09,0.58,0.586,0.35700000000000004,0.49,9.0,0.222,0.275,3.0,0.667,0.402,0.54,1.0,
Dick Norman,0.724,0.095,18.5,0.1305,13.5,0.0825,0.6114999999999999,0.6425000000000001,0.5125,0.5914999999999999,17.5,0.6060000000000001,0.3175,10.5,0.3195,0.4565,0.7849999999999999,3.0,85.0
Diego Hartfield,0.8240000000000001,0.0,5.0,0.05,9.0,0.09,0.6,0.75,0.475,0.64,9.0,0.667,0.314,9.0,0.0,0.46299999999999997,0.87,1.0,73.0
Diego Junqueira,0.588,0.222,0.0,0.0,3.0,0.027000000000000003,0.752,0.494,0.643,0.531,14.0,0.5,0.375,7.0,0.5710000000000001,0.45299999999999996,0.8,2.0,68.0
Diego Schwartzman,0.6776363636363636,0.254,6.0,0.022636363636363635,10.545454545454545,0.04109090909090909,0.6086363636363636,0.6468181818181818,0.4766363636363637,0.5794545454545456,28.09090909090909,0.5761818181818182,0.38781818181818184,30.181818181818183,0.34109090909090906,0.4818181818181818,0.9445454545454546,27.0,8.0
Dieter Kindlmann,0.667,0.125,1.0,0.011000000000000001,5.0,0.057,0.47100000000000003,0.732,0.413,0.563,11.0,0.545,0.34,7.0,0.28600000000000003,0.446,0.78,1.0,130.0
Dmitry Tursunov,0.7606666666666667,0.18133333333333335,19.916666666666668,0.07375,11.5,0.05475,0.5579999999999999,0.6939166666666666,0.5070833333333333,0.611,19.166666666666668,0.6021666666666666,0.3511666666666666,18.75,0.37366666666666665,0.4836666666666667,0.9133333333333334,22.0,20.0
Dominic Stricker,0.7795000000000001,0.195,27.0,0.07250000000000001,15.0,0.059000000000000004,0.4764999999999999,0.761,0.508,0.627,21.5,0.45899999999999996,0.36150000000000004,28.0,0.371,0.48750000000000004,0.9750000000000001,5.0,88.0
Dominic Thiem,0.8027000000000001,0.2237,23.8,0.0732,11.5,0.0396,0.5850000000000001,0.7189,0.535,0.6414,26.1,0.6514,0.3518,32.6,0.36669999999999997,0.49820000000000003,1.02,32.0,3.0
Dominik Hrbaty,0.6876666666666666,0.3118888888888889,19.555555555555557,0.06588888888888889,16.333333333333332,0.06366666666666668,0.5703333333333334,0.6938888888888889,0.45999999999999996,0.5934444444444444,26.22222222222222,0.5044444444444445,0.40888888888888886,28.88888888888889,0.5884444444444444,0.503,1.028888888888889,23.0,12.0
Dominik Koepfer,0.6796,0.1346,8.8,0.0316,11.4,0.0548,0.605,0.6504,0.44160000000000005,0.5694,23.2,0.6212,0.3236,16.4,0.2822,0.4584,0.766,9.0,49.0
Dominik Meffert,0.737,0.105,8.0,0.069,12.0,0.10300000000000001,0.517,0.75,0.5,0.629,9.0,0.444,0.298,2.0,1.0,0.473,0.8,1.0,
Donald Young,0.6691428571428572,0.1822857142857143,6.714285714285714,0.03507142857142857,10.357142857142858,0.05921428571428571,0.6102142857142857,0.6425714285714286,0.4720714285714286,0.5755714285714285,19.357142857142858,0.5129285714285714,0.3432857142857143,17.142857142857142,0.3947142857142857,0.4587857142857143,0.8307142857142857,25.0,38.0
Dudi Sela,0.6446,0.24159999999999998,4.8,0.0268,7.6,0.0485,0.5767,0.6609,0.4688,0.5806,17.2,0.43879999999999997,0.38730000000000003,18.0,0.3791,0.4801,0.9359999999999999,16.0,29.0
Dusan Lajovic,0.6735,0.1803,8.0,0.041600000000000005,3.8,0.0234,0.6694,0.6242,0.4883,0.5791999999999999,16.7,0.5426,0.35100000000000003,13.8,0.37970000000000004,0.4669,0.8640000000000001,14.0,23.0
Dusan Lojda,0.455,0.0,1.0,0.013999999999999999,4.0,0.057,0.5710000000000001,0.65,0.3,0.5,10.0,0.4,0.22699999999999998,3.0,0.0,0.368,0.45,1.0,
Dustin Brown,0.7974,0.1286,16.8,0.1058,11.8,0.0774,0.556,0.7498,0.47119999999999995,0.6224000000000001,12.2,0.6134000000000001,0.313,8.6,0.361,0.46799999999999997,0.826,7.0,64.0
Edouard Roger-Vasselin,0.7128,0.1722,5.6,0.038400000000000004,4.2,0.0332,0.6026,0.6809999999999999,0.48360000000000003,0.6038,14.0,0.5664,0.3604,10.4,0.3766,0.47859999999999997,0.9179999999999999,6.0,35.0
Eduardo Schwank,0.7965,0.1815,16.0,0.092,5.0,0.028,0.657,0.7180000000000001,0.45799999999999996,0.629,15.0,0.6385000000000001,0.35150000000000003,9.0,0.5415,0.4985,0.9450000000000001,3.0,48.0
Edwin Kempes,0.6910000000000001,0.159,7.0,0.046,8.5,0.058,0.4935,0.654,0.4785,0.565,18.5,0.6495,0.3305,7.0,0.522,0.4555,0.77,2.0,
Egor Gerasimov,0.7463333333333333,0.10899999999999999,12.333333333333334,0.068,10.0,0.058666666666666666,0.6313333333333334,0.7063333333333333,0.4203333333333334,0.601,17.0,0.6076666666666667,0.29833333333333334,12.0,0.20133333333333336,0.464,0.7599999999999999,5.0,65.0
Elias Ymer,0.583,0.0,9.0,0.09,6.0,0.06,0.6,0.617,0.375,0.52,16.0,0.688,0.159,2.0,0.0,0.38,0.33,1.0,105.0
Eliot Spizzirri,0.35700000000000004,0.28600000000000003,1.0,0.013000000000000001,6.0,0.079,0.526,0.45,0.389,0.42100000000000004,13.0,0.308,0.38,7.0,0.5710000000000001,0.4,0.66,1.0,125.0
Elliot Benchetrit,0.588,0.063,8.0,0.075,2.0,0.019,0.575,0.6890000000000001,0.37799999999999995,0.557,15.0,0.5329999999999999,0.307,6.0,0.16699999999999998,0.435,0.69,1.0,198.0
Emil Ruusuvuori,0.707,0.18466666666666667,13.333333333333334,0.08700000000000001,9.0,0.056999999999999995,0.624,0.726,0.41933333333333334,0.6136666666666667,14.0,0.35233333333333333,0.35600000000000004,17.666666666666668,0.304,0.47633333333333333,0.9266666666666667,5.0,37.0
Emilio Nava,0.7323333333333334,0.125,16.333333333333332,0.09633333333333333,9.333333333333334,0.055,0.6326666666666666,0.7046666666666667,0.4753333333333334,0.6189999999999999,18.0,0.5533333333333333,0.3233333333333333,10.666666666666666,0.4243333333333334,0.4683333333333333,0.8733333333333334,4.0,124.0
Enzo Couacaud,0.7595000000000001,0.1795,19.0,0.1275,6.5,0.045,0.5585,0.7525,0.507,0.647,12.5,0.513,0.3195,8.0,0.5625,0.48950000000000005,0.905,2.0,151.0
Eric Prodon,0.5710000000000001,0.214,4.0,0.040999999999999995,10.0,0.10300000000000001,0.46399999999999997,0.622,0.365,0.485,15.0,0.6,0.363,5.0,0.6,0.426,0.7,1.0,
Eric Taino,0.6465000000000001,0.082,8.5,0.07050000000000001,3.5,0.029,0.5335,0.5790000000000001,0.5285,0.5589999999999999,13.5,0.5,0.29000000000000004,6.0,0.35,0.4315,0.66,2.0,
Ernesto Escobedo,0.7807999999999999,0.1746,18.2,0.0974,8.0,0.0416,0.5564,0.7,0.5322,0.6274,19.2,0.6782,0.36360000000000003,14.8,0.4,0.497,0.9880000000000001,8.0,67.0
Ernests Gulbis,0.8244,0.1693,27.2,0.1325,12.6,0.0688,0.5922,0.7656000000000001,0.469,0.6436,18.1,0.6997,0.3438,16.4,0.3494,0.4968,0.982,18.0,10.0
Ethan Quinn,0.6,0.14300000000000002,7.0,0.069,3.0,0.03,0.594,0.617,0.39,0.525,11.0,0.455,0.341,5.0,0.4,0.441,0.72,1.0,123.0
