median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
3,Lucija Ciric Bagaric,306,157,1.8%,5.4%,59.0%,50.0%,47.1%,15.7%,22.6%,9.0%,6.8%,N/A,N/A,N/A,N/A,N/A,N/A,1.4%,47.3%,1.4%,67.1%,38.3%,42.9%,44.7%,21.2%,30.5%,48.7%,5.9%,56.9%,16.5%,23.5%,38.0%,12,80.7%,47.4%,2.41,16.1%,12.5%,4.6,50.2%,46.3%,46.2%,50.0%,47.1%,16.2%,3.5,-0.9,0.0%,-,11.8%,78.9%,14.4%,28.0%,23.5%,6.6%,33.3%,3.4%,37.5%,11,5
12,Kayla Day,307,84,4.2%,5.5%,58.3%,62.7%,43.8%,10.7%,17.3%,6.0%,2.7%,103.0,105.4,101.8,87.3,88.5,96.0,3.3%,54.8%,2.5%,56.1%,44.1%,45.8%,48.1%,28.8%,37.6%,50.7%,5.3%,55.8%,16.2%,18.6%,44.4%,17,81.5%,51.8%,2.53,13.7%,3.6%,5.4,55.6%,51.3%,47.2%,47.8%,53.0%,11.7%,2.0,1.6,0.5%,100.0%,8.6%,64.9%,7.3%,15.4%,3.9%,4.3%,8.8%,1.0%,22.0%,-104,-76
1,Ayla Aksu,308,214,1.8%,7.4%,56.5%,56.7%,37.0%,14.4%,30.5%,8.3%,5.6%,N/A,N/A,N/A,N/A,N/A,N/A,2.3%,56.4%,0.9%,55.1%,48.6%,48.1%,42.9%,43.3%,50.0%,47.1%,0.0%,43.8%,7.4%,11.1%,40.0%,-42,56.9%,42.4%,2.52,18.8%,0.0%,3.7,44.1%,41.4%,40.0%,50.0%,50.8%,4.3%,0.0,-6.8,0.0%,-,5.1%,66.7%,12.8%,22.2%,20.0%,7.5%,14.3%,0.0%,-,88,93
5,Dalila Jakupovic,309,69,2.4%,4.2%,61.6%,58.7%,43.8%,17.9%,21.8%,5.9%,6.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.8%,54.5%,1.1%,53.6%,46.2%,46.6%,47.6%,17.1%,26.5%,47.4%,30.2%,56.9%,11.7%,18.0%,48.0%,0,70.4%,54.8%,2.49,4.2%,9.7%,4.1,48.3%,46.2%,48.6%,61.2%,46.9%,11.9%,-1.6,2.9,0.3%,0.0%,6.7%,82.2%,10.6%,18.0%,13.3%,7.1%,19.2%,3.8%,41.9%,25,2
18,Oceane Dodin,310,46,6.4%,9.6%,53.9%,69.1%,40.1%,16.4%,21.3%,7.7%,7.0%,108.1,109.4,104.8,89.7,90.5,89.7,4.8%,57.4%,4.4%,56.2%,44.2%,43.8%,45.0%,32.7%,44.0%,48.2%,56.9%,8.1%,20.0%,26.9%,40.9%,59,63.7%,55.0%,2.41,21.5%,6.7%,3.3,45.9%,48.0%,51.7%,52.1%,42.9%,3.7%,4.8,6.0,0.0%,-,8.3%,64.0%,15.6%,24.0%,20.0%,13.8%,32.0%,1.0%,37.5%,87,93
1,Hanyu Guo,316,278,1.2%,4.0%,69.3%,55.2%,34.3%,13.5%,29.1%,6.6%,4.7%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,53.5%,1.0%,52.9%,45.5%,47.7%,43.3%,17.6%,33.8%,52.5%,18.2%,30.8%,10.4%,12.5%,30.2%,-33,75.7%,52.4%,2.68,1.6%,5.1%,4.0,50.8%,47.6%,41.4%,57.1%,52.3%,4.1%,-6.2,-0.6,0.0%,-,2.5%,100.0%,10.5%,17.4%,0.0%,5.7%,21.1%,1.7%,14.3%,68,36
1,Caroline Uebelhoer,317,317,N/A,N/A,N/A,N/A,N/A,25.7%,23.9%,17.6%,7.8%,N/A,N/A,N/A,N/A,N/A,N/A,2.1%,56.8%,0.9%,53.5%,47.1%,45.4%,58.2%,7.1%,23.8%,66.7%,0.0%,85.7%,5.9%,17.6%,37.5%,-55,64.8%,34.3%,2.23,17.9%,10.5%,4.5,38.2%,54.3%,38.5%,58.3%,45.8%,7.7%,12.6,-5.6,0.0%,-,12.2%,78.6%,19.8%,30.3%,25.0%,8.0%,8.3%,0.5%,100.0%,91,30
3,Jaimee Fourlis,319,147,1.5%,3.1%,68.9%,55.5%,43.2%,16.1%,26.5%,10.9%,4.8%,91.6,92.6,89.6,77.7,81.2,78.6,1.1%,55.0%,0.7%,53.8%,45.3%,44.8%,42.9%,15.6%,23.5%,45.7%,5.4%,48.8%,15.0%,17.5%,36.8%,6,73.5%,49.1%,2.50,31.8%,5.4%,4.5,45.9%,46.0%,53.6%,36.4%,50.2%,9.9%,-2.6,1.6,0.0%,-,15.8%,58.8%,12.6%,21.8%,18.2%,7.8%,24.6%,0.7%,14.3%,45,29
24,Lin Zhu,320,31,2.2%,4.0%,62.2%,60.9%,46.2%,12.6%,18.3%,6.2%,4.1%,94.1,96.1,91.6,78.9,84.0,79.3,2.0%,56.9%,1.7%,54.5%,43.6%,44.9%,43.2%,20.8%,31.0%,48.0%,22.8%,36.2%,15.2%,19.0%,34.2%,36,73.7%,50.4%,2.52,8.1%,13.4%,4.3,45.9%,45.8%,46.5%,49.2%,51.0%,8.6%,4.4,1.1,0.1%,0.0%,7.0%,66.4%,11.8%,20.6%,15.8%,8.2%,23.0%,0.9%,20.8%,-8,-11
2,Ylena In Albon,321,110,1.5%,5.0%,64.2%,61.1%,44.2%,11.4%,21.8%,7.4%,3.7%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,54.0%,0.7%,54.6%,46.3%,46.6%,43.5%,24.1%,30.1%,47.6%,41.7%,60.0%,18.5%,25.9%,31.8%,41,71.3%,36.4%,2.65,14.3%,5.4%,4.4,42.3%,41.5%,36.8%,48.0%,59.0%,13.5%,0.0,-3.1,0.0%,-,7.9%,61.1%,8.4%,13.7%,6.7%,5.4%,18.2%,1.4%,0.0%,-54,-30
1,Aurora Zantedeschi,322,310,1.4%,2.7%,61.6%,62.2%,28.6%,16.0%,21.0%,13.3%,2.7%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,51.8%,1.3%,44.7%,40.7%,45.9%,42.6%,17.8%,28.9%,54.1%,7.7%,92.3%,7.7%,11.5%,25.0%,-36,74.0%,48.6%,2.58,36.1%,16.7%,4.4,42.2%,48.5%,41.2%,55.6%,59.1%,20.5%,7.6,-3.7,0.0%,-,13.0%,43.8%,17.8%,17.4%,10.0%,3.9%,20.0%,1.4%,33.3%,26,-1
1,Emeline Dartron,323,322,0.0%,3.5%,50.9%,55.2%,42.9%,13.3%,28.3%,11.1%,2.8%,N/A,N/A,N/A,N/A,N/A,N/A,1.9%,56.1%,1.7%,55.9%,46.2%,45.8%,48.9%,17.1%,25.7%,48.3%,50.0%,40.0%,11.1%,11.1%,50.0%,-4,74.6%,36.2%,2.10,10.3%,4.2%,4.2,44.4%,44.1%,56.3%,22.2%,60.7%,47.0%,-4.2,-3.6,0.0%,-,15.6%,57.9%,10.5%,18.2%,0.0%,4.2%,12.5%,1.9%,0.0%,9,2
7,Caty Mcnally,324,54,2.3%,6.3%,65.7%,59.7%,43.8%,14.9%,19.9%,8.4%,3.3%,98.7,100.2,96.7,88.6,90.1,93.3,2.4%,57.5%,2.2%,54.3%,44.4%,47.0%,46.3%,27.6%,37.1%,46.3%,42.2%,15.1%,15.4%,21.9%,46.2%,32,76.1%,55.1%,2.48,20.2%,12.2%,4.1,48.7%,51.0%,50.4%,56.3%,53.0%,35.4%,1.6,2.5,7.6%,60.0%,18.7%,67.2%,11.5%,19.4%,4.9%,6.7%,13.5%,1.4%,42.9%,11,18
2,Nastasja Schunk,325,143,2.1%,4.2%,67.2%,55.7%,46.1%,13.7%,24.1%,6.2%,6.8%,N/A,N/A,N/A,N/A,N/A,N/A,2.2%,45.5%,2.4%,57.1%,35.2%,35.7%,46.4%,16.5%,23.7%,42.0%,5.0%,81.3%,13.9%,16.7%,58.1%,12,70.1%,49.0%,2.40,3.7%,2.2%,4.9,41.2%,46.0%,52.6%,46.3%,56.1%,10.7%,1.3,6.1,0.0%,-,4.0%,90.9%,8.9%,6.2%,6.4%,10.9%,31.6%,0.8%,60.0%,-15,-20
1,Amarni Banks,326,235,1.5%,1.5%,65.7%,59.1%,52.2%,19.4%,10.4%,12.2%,6.5%,N/A,N/A,N/A,N/A,N/A,N/A,5.4%,67.6%,3.0%,78.8%,33.3%,35.7%,60.5%,36.2%,53.2%,53.3%,20.0%,18.8%,38.1%,47.6%,76.9%,1,64.1%,48.8%,2.07,33.3%,3.8%,3.5,52.9%,63.0%,40.0%,71.4%,50.3%,21.8%,12.0,25.7,0.0%,-,14.2%,63.2%,21.0%,27.8%,100.0%,26.0%,50.0%,4.0%,42.9%,48,71
18,Zarina Diyas,328,31,2.5%,4.4%,68.4%,59.8%,45.3%,12.0%,17.7%,5.7%,3.0%,97.1,100.2,91.0,87.0,88.9,85.0,2.7%,58.4%,1.5%,55.0%,43.8%,45.5%,42.6%,22.0%,29.0%,44.3%,34.6%,28.9%,15.3%,20.0%,38.2%,31,72.6%,48.6%,2.49,5.3%,9.6%,4.6,47.6%,43.8%,48.2%,46.2%,52.8%,8.8%,1.3,-1.1,0.0%,-,7.1%,69.0%,10.2%,15.3%,50.0%,5.7%,14.7%,1.0%,37.8%,-21,-14
1,Yasmine Mansouri,329,314,5.3%,12.3%,59.6%,61.8%,34.8%,15.7%,29.4%,9.0%,4.5%,N/A,N/A,N/A,N/A,N/A,N/A,1.8%,51.9%,1.3%,52.7%,46.5%,47.0%,44.7%,26.5%,32.4%,48.0%,57.1%,11.1%,18.8%,25.0%,38.5%,31,71.1%,25.0%,2.51,37.5%,27.3%,4.2,37.0%,32.0%,53.8%,30.0%,67.2%,31.0%,-10.0,1.3,0.0%,-,12.7%,53.8%,8.4%,16.7%,0.0%,8.8%,0.0%,4.0%,28.6%,6,36
12,Claire Liu,331,52,3.4%,4.2%,64.1%,60.7%,43.0%,14.8%,20.5%,8.2%,5.6%,93.9,96.7,93.1,81.2,83.5,80.3,2.8%,55.4%,2.0%,54.2%,43.9%,45.9%,42.5%,19.7%,31.1%,46.5%,25.0%,50.7%,12.7%,18.3%,35.5%,-13,74.5%,51.5%,2.46,9.9%,11.2%,4.3,46.6%,48.7%,44.3%,44.2%,50.5%,6.3%,-4.3,1.3,1.9%,75.0%,14.3%,69.9%,8.3%,13.9%,4.5%,8.8%,33.5%,0.9%,50.0%,20,4
1,Renata Jamrichova,332,304,2.8%,11.3%,59.4%,62.1%,44.6%,18.8%,25.4%,12.6%,6.7%,N/A,N/A,N/A,N/A,N/A,N/A,3.0%,57.6%,6.9%,58.6%,47.5%,27.8%,61.7%,17.5%,32.5%,63.6%,0.0%,87.5%,0.0%,28.6%,57.1%,-119,68.4%,48.1%,2.28,31.3%,0.0%,4.6,45.2%,51.9%,40.0%,52.2%,50.7%,2.9%,7.0,2.6,0.0%,-,8.7%,75.0%,12.2%,7.9%,50.0%,11.0%,10.3%,0.0%,-,14,12
1,Laura Samson,335,302,1.6%,5.7%,59.9%,56.9%,40.6%,14.9%,20.9%,9.4%,5.7%,N/A,N/A,N/A,N/A,N/A,N/A,1.6%,60.7%,0.0%,41.1%,53.3%,51.3%,44.8%,16.2%,25.7%,50.0%,90.0%,57.9%,12.8%,20.5%,35.3%,8,84.5%,56.3%,2.59,19.7%,7.4%,4.3,55.6%,46.5%,55.2%,45.5%,50.3%,6.0%,4.9,2.7,0.9%,100.0%,11.4%,69.6%,13.9%,24.2%,10.0%,7.7%,15.4%,1.1%,50.0%,29,12
2,Anastasia Gasanova,336,121,1.8%,9.0%,67.9%,58.4%,41.1%,14.3%,18.7%,7.2%,7.4%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,52.2%,0.4%,54.3%,50.5%,48.0%,45.9%,21.8%,27.9%,47.8%,73.3%,30.8%,21.4%,26.8%,40.9%,47,73.7%,53.1%,2.43,6.1%,5.1%,4.3,48.4%,52.3%,50.9%,52.3%,50.7%,3.4%,5.2,2.5,1.0%,50.0%,5.9%,81.5%,10.6%,20.9%,0.0%,11.0%,24.4%,0.1%,100.0%,-24,-13
2,Xiaodi You,337,168,2.5%,5.4%,53.5%,53.2%,39.1%,7.3%,15.0%,3.6%,2.3%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,54.2%,0.6%,52.1%,48.8%,47.8%,34.3%,22.1%,29.4%,37.7%,11.1%,57.6%,18.3%,21.7%,30.6%,-11,70.8%,46.3%,2.66,15.4%,23.7%,4.1,51.1%,41.7%,34.4%,29.4%,48.6%,15.5%,-2.8,1.2,0.8%,0.0%,5.3%,46.2%,5.9%,8.8%,0.0%,6.7%,16.7%,3.0%,16.7%,-97,-66
1,Meiling Wang,340,320,0.9%,3.5%,62.6%,48.6%,53.5%,8.6%,21.0%,6.1%,1.0%,N/A,N/A,N/A,N/A,N/A,N/A,0.6%,50.2%,1.6%,52.9%,40.5%,47.4%,37.8%,15.2%,24.2%,35.7%,0.0%,77.8%,22.7%,22.7%,41.2%,41,72.3%,35.3%,2.65,10.7%,0.0%,4.2,50.0%,31.0%,8.3%,37.5%,45.8%,6.3%,3.2,-14.0,0.0%,-,5.7%,66.7%,4.3%,6.7%,0.0%,4.5%,11.1%,1.1%,0.0%,-51,-51
5,Cagla Buyukakcay,341,60,1.1%,3.1%,72.7%,56.8%,44.4%,12.8%,18.1%,5.7%,6.9%,93.7,94.7,92.2,82.5,86.5,85.0,0.6%,54.4%,0.7%,54.6%,44.6%,45.7%,50.2%,10.7%,17.8%,54.9%,9.4%,48.6%,11.9%,17.9%,32.2%,-5,85.1%,56.0%,2.50,6.8%,3.9%,5.9,51.1%,58.2%,46.0%,51.9%,46.5%,9.4%,1.0,2.6,0.0%,-,8.4%,64.9%,6.1%,7.5%,8.3%,7.5%,21.7%,1.4%,56.0%,-39,-53
22,Anna Lena Friedsam,342,45,4.4%,4.7%,64.6%,63.4%,46.0%,16.3%,20.8%,8.4%,5.8%,107.0,106.0,101.7,94.2,96.0,,3.8%,58.5%,4.0%,59.6%,41.8%,42.0%,46.5%,25.7%,36.5%,48.9%,13.3%,29.3%,14.1%,18.4%,41.9%,26,73.8%,50.9%,2.35,18.9%,4.8%,4.5,49.6%,47.5%,49.0%,50.9%,47.7%,20.2%,0.0,1.8,1.0%,93.8%,10.5%,74.9%,11.5%,22.2%,6.4%,8.1%,30.9%,1.1%,33.8%,-7,2
2,Isabella Shinikova,345,133,3.3%,6.4%,59.1%,59.1%,41.3%,10.9%,31.3%,9.6%,,N/A,N/A,N/A,N/A,N/A,N/A,3.0%,56.1%,2.0%,55.6%,46.9%,49.4%,44.7%,28.0%,34.1%,50.8%,29.4%,42.9%,7.9%,10.5%,34.3%,-42,78.9%,52.3%,2.47,20.7%,11.1%,4.4,47.5%,46.6%,58.1%,60.0%,47.7%,9.1%,3.9,-3.8,1.6%,50.0%,7.2%,82.4%,18.0%,18.4%,15.0%,1.9%,10.5%,2.6%,33.3%,77,76
1,Petra Hule,347,287,N/A,N/A,N/A,N/A,N/A,12.2%,17.3%,9.7%,3.2%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,44.6%,0.0%,41.0%,32.7%,40.9%,24.4%,13.2%,18.4%,21.2%,33.3%,14.3%,20.0%,30.0%,37.5%,58,80.9%,44.7%,2.39,3.0%,11.1%,3.9,40.8%,38.2%,27.3%,0.0%,39.5%,5.4%,15.2,-9.3,0.0%,-,3.1%,66.7%,29.5%,45.5%,0.0%,3.3%,7.7%,0.7%,0.0%,-11,-15
1,Sakura Hosogi,348,204,0.0%,2.5%,76.5%,53.2%,57.9%,13.4%,26.2%,7.8%,6.0%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,52.2%,0.4%,54.6%,51.0%,52.9%,45.3%,21.3%,26.2%,39.6%,0.0%,36.4%,11.1%,16.7%,62.5%,-4,87.9%,47.5%,2.53,2.1%,3.1%,5.7,39.1%,56.0%,42.1%,58.8%,45.8%,12.4%,5.9,-1.5,0.0%,-,9.9%,70.6%,14.3%,26.3%,33.3%,6.3%,15.4%,0.9%,25.0%,-2,-5
1,Katharina Hobgarski,352,189,0.0%,5.1%,64.7%,44.6%,43.4%,11.2%,17.8%,6.3%,6.3%,N/A,N/A,N/A,N/A,N/A,N/A,0.7%,53.1%,0.6%,53.3%,51.0%,50.1%,44.2%,16.1%,25.8%,46.2%,0.0%,77.8%,15.0%,30.0%,41.2%,31,58.5%,45.2%,2.36,3.8%,0.0%,3.8,39.3%,34.5%,53.8%,50.0%,59.1%,9.0%,-4.7,6.7,0.0%,-,4.7%,100.0%,9.4%,5.3%,0.0%,13.7%,25.0%,1.8%,33.3%,1,-17
4,Anastasia Tikhonova,353,151,1.9%,9.2%,58.4%,57.7%,37.9%,18.6%,16.3%,11.3%,6.0%,N/A,N/A,N/A,N/A,N/A,N/A,4.2%,64.8%,1.4%,54.7%,47.0%,48.5%,54.3%,35.4%,50.0%,58.8%,35.3%,31.3%,17.2%,28.3%,48.8%,42,73.3%,59.1%,2.21,24.8%,4.1%,3.7,53.4%,59.2%,46.5%,66.7%,39.8%,11.4%,18.6,1.8,0.0%,-,7.8%,76.1%,24.3%,57.6%,33.3%,8.1%,25.4%,1.0%,33.3%,60,74
2,Elena Micic,354,354,N/A,N/A,N/A,N/A,N/A,13.8%,16.9%,7.7%,4.1%,N/A,N/A,N/A,N/A,N/A,N/A,5.8%,50.7%,6.3%,46.9%,46.0%,33.9%,36.7%,29.6%,37.0%,38.6%,35.3%,41.7%,19.5%,29.3%,33.3%,58,67.2%,52.4%,2.38,12.3%,16.7%,3.5,44.6%,43.5%,42.9%,53.3%,49.0%,12.7%,2.9,1.7,0.0%,-,6.7%,70.6%,12.1%,16.7%,0.0%,7.8%,10.7%,0.3%,0.0%,-11,15
1,Martyna Kubka,359,305,4.5%,4.5%,68.2%,46.7%,57.1%,21.1%,20.2%,15.5%,4.1%,N/A,N/A,N/A,N/A,N/A,N/A,2.4%,65.9%,2.5%,51.9%,42.9%,40.9%,41.0%,33.3%,44.4%,33.3%,33.3%,60.0%,21.1%,57.9%,53.3%,11,59.3%,37.5%,2.29,20.8%,0.0%,3.1,45.6%,39.1%,14.3%,50.0%,53.0%,14.5%,5.4,-0.9,1.8%,100.0%,11.5%,46.2%,26.4%,29.6%,0.0%,10.8%,30.0%,2.3%,0.0%,145,108
1,Sara Cakarevic,361,284,N/A,N/A,N/A,N/A,N/A,13.3%,24.9%,9.7%,2.6%,N/A,N/A,N/A,N/A,N/A,N/A,2.9%,54.0%,1.6%,55.4%,45.8%,45.9%,39.4%,27.8%,35.2%,38.5%,47.1%,66.7%,15.6%,15.6%,40.7%,25,70.9%,50.0%,2.65,8.1%,8.7%,4.0,44.3%,47.9%,40.0%,50.0%,51.0%,27.5%,4.2,-6.7,0.0%,-,1.7%,100.0%,14.0%,20.0%,0.0%,2.8%,11.1%,3.4%,10.0%,7,16
1,Gergana Topalova,362,210,0.9%,2.3%,67.6%,52.1%,39.1%,18.1%,27.7%,8.2%,10.4%,N/A,N/A,N/A,N/A,N/A,N/A,2.4%,57.9%,0.5%,53.9%,47.5%,45.2%,47.0%,6.3%,10.9%,51.7%,0.0%,63.6%,0.0%,8.7%,34.8%,-119,91.9%,48.4%,2.47,0.0%,0.0%,8.8,43.5%,54.5%,43.9%,50.0%,49.0%,4.1%,1.6,-1.4,0.0%,-,17.0%,43.8%,6.7%,5.6%,13.6%,3.1%,10.0%,1.1%,75.0%,-85,-95
4,Ekaterine Gorgodze,363,108,1.3%,3.3%,69.2%,55.2%,42.1%,15.1%,22.6%,9.4%,4.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.8%,55.6%,0.8%,55.9%,48.1%,50.8%,42.7%,9.6%,18.9%,46.1%,21.1%,20.6%,5.6%,9.7%,32.4%,-62,81.8%,46.3%,2.36,2.0%,9.0%,5.4,45.5%,38.5%,41.9%,56.3%,52.2%,13.9%,2.4,-4.4,0.0%,-,10.9%,66.2%,10.7%,17.4%,9.0%,3.9%,11.4%,3.4%,30.0%,-28,-43
1,Madison Sieg,364,294,N/A,N/A,N/A,N/A,N/A,20.8%,12.8%,12.9%,8.6%,N/A,N/A,N/A,N/A,N/A,N/A,3.1%,56.3%,0.0%,45.2%,25.0%,56.7%,46.2%,14.6%,29.3%,45.7%,28.6%,33.3%,10.5%,10.5%,47.1%,-14,74.2%,47.8%,2.33,5.7%,0.0%,5.9,50.0%,44.4%,45.0%,39.1%,55.2%,22.3%,1.2,10.6,0.0%,-,15.2%,52.6%,8.5%,26.5%,0.0%,11.6%,21.9%,0.6%,0.0%,-107,-100
1,Anastasia Kulikova,365,179,6.8%,2.0%,64.9%,73.0%,55.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3%,58.7%,0.7%,58.1%,46.1%,46.6%,46.8%,32.8%,50.8%,46.3%,0.0%,80.0%,19.2%,34.6%,47.6%,61,73.6%,58.7%,2.24,2.6%,0.0%,3.4,52.1%,59.5%,52.6%,36.4%,57.5%,8.3%,6.6,16.1,0.0%,-,2.3%,100.0%,23.9%,28.6%,20.0%,19.1%,30.8%,1.9%,33.3%,191,165
2,Weronika Falkowska,366,240,2.3%,3.5%,63.2%,59.3%,44.4%,20.3%,12.2%,10.6%,7.8%,N/A,N/A,N/A,N/A,N/A,N/A,3.6%,53.7%,0.7%,51.7%,44.8%,45.2%,50.0%,34.4%,48.4%,54.8%,83.3%,19.0%,27.3%,33.3%,41.7%,-68,74.7%,68.9%,2.50,9.8%,20.6%,3.6,64.1%,51.1%,73.9%,80.0%,43.0%,9.9%,14.2,10.3,0.0%,-,12.7%,76.0%,16.7%,11.1%,0.0%,16.7%,12.5%,3.2%,11.1%,65,59
2,Natalija Stevanovic,368,145,1.6%,5.9%,61.1%,62.1%,40.5%,11.1%,12.7%,6.0%,4.3%,92.8,97.9,88.2,78.9,89.3,79.7,1.3%,54.2%,1.4%,54.4%,49.1%,48.8%,42.9%,16.7%,19.0%,40.0%,25.0%,17.6%,16.0%,20.0%,47.6%,40,84.0%,52.9%,2.57,2.9%,11.5%,5.1,46.6%,50.0%,40.9%,52.2%,57.4%,68.3%,-3.0,9.5,0.0%,-,7.2%,81.8%,7.0%,4.2%,20.0%,17.6%,30.0%,3.3%,27.3%,-43,-39
1,Emily Appleton,372,348,4.6%,11.0%,56.0%,54.1%,41.7%,8.8%,24.5%,5.8%,4.7%,N/A,N/A,N/A,N/A,N/A,N/A,4.6%,58.5%,2.8%,57.1%,44.6%,44.8%,34.4%,25.0%,37.5%,27.8%,16.7%,70.0%,12.5%,12.5%,42.9%,-27,60.4%,56.3%,2.63,61.1%,7.7%,3.0,38.8%,40.7%,60.0%,0.0%,63.2%,37.2%,-8.2,9.3,6.1%,66.7%,12.7%,69.2%,4.8%,15.4%,0.0%,11.8%,50.0%,0.9%,100.0%,13,45
1,Mia Ristic,374,266,0.6%,2.8%,70.7%,49.2%,28.3%,3.4%,5.1%,3.7%,,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,35.3%,0.0%,62.5%,35.7%,39.1%,26.7%,30.6%,36.7%,35.3%,0.0%,66.7%,31.3%,31.3%,0.0%,-33,74.5%,36.8%,2.72,0.0%,20.0%,4.0,56.3%,25.8%,28.6%,37.5%,48.8%,3.4%,9.0,-10.1,0.0%,-,2.6%,100.0%,14.3%,9.1%,100.0%,3.3%,11.1%,0.0%,-,-155,-91
1,Francesca Curmi,375,299,0.0%,2.1%,67.0%,46.0%,38.7%,10.5%,19.3%,5.1%,5.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.3%,13.8%,21.5%,39.3%,70.0%,29.4%,11.1%,18.5%,29.2%,-21,80.2%,63.0%,2.36,9.3%,8.3%,4.9,55.4%,44.4%,37.0%,52.4%,51.3%,8.4%,2.1,7.3,0.0%,-,5.9%,72.7%,8.2%,12.5%,0.0%,9.1%,37.5%,0.3%,0.0%,-59,-64
19,Fiona Ferro,376,39,1.6%,3.3%,61.2%,58.7%,45.1%,14.8%,22.2%,6.5%,3.1%,89.3,91.7,84.7,73.9,74.5,72.6,1.3%,52.0%,0.9%,51.7%,45.4%,45.7%,46.6%,19.3%,30.1%,45.3%,7.9%,64.0%,13.7%,22.1%,48.6%,-25,77.0%,52.2%,2.42,7.3%,9.0%,4.6,50.5%,48.6%,51.7%,44.6%,51.3%,8.7%,5.9,1.4,0.1%,100.0%,6.0%,67.7%,14.2%,19.7%,19.5%,8.5%,26.3%,1.4%,37.7%,12,-2
1,Hong Yi Cody Wong,377,319,0.8%,4.2%,63.3%,48.7%,38.6%,5.1%,23.5%,4.5%,1.1%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,44.8%,0.0%,34.6%,41.7%,26.3%,31.9%,13.5%,16.2%,28.1%,0.0%,42.9%,11.8%,17.6%,40.0%,-37,62.8%,40.7%,2.67,9.7%,0.0%,5.8,36.8%,44.4%,30.8%,35.0%,55.3%,9.1%,-4.7,-3.2,0.0%,-,7.1%,42.9%,4.7%,4.2%,20.0%,5.1%,0.0%,1.2%,0.0%,-71,-79
1,Eudice Wong Chong,379,213,3.0%,4.7%,62.3%,53.9%,51.0%,14.5%,22.6%,10.8%,4.7%,N/A,N/A,N/A,N/A,N/A,N/A,1.5%,54.3%,1.5%,53.4%,46.0%,43.1%,42.9%,13.1%,19.7%,45.3%,10.0%,40.0%,15.0%,20.0%,35.3%,-46,71.4%,52.7%,2.63,47.2%,6.5%,5.2,41.3%,47.4%,72.2%,39.1%,67.2%,13.7%,1.8,-7.3,0.0%,-,12.6%,85.0%,9.1%,14.6%,0.0%,2.4%,0.0%,0.0%,-,-16,-36
