median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
3,Yuriko Miyazaki,233,132,1.8%,4.9%,62.4%,59.9%,45.3%,13.9%,22.6%,9.7%,4.0%,93.8,94.9,93.8,80.1,82.6,74.0,1.1%,52.3%,2.0%,54.8%,43.2%,45.1%,46.8%,24.4%,37.4%,53.5%,38.2%,74.3%,17.4%,27.5%,35.1%,50,68.0%,48.6%,2.49,19.6%,20.3%,3.6,43.8%,47.4%,47.2%,52.0%,60.0%,26.0%,2.5,7.1,1.4%,100.0%,9.6%,67.5%,16.0%,26.7%,33.3%,13.9%,28.9%,1.5%,44.4%,74,66
2,Maria Mateas,234,190,1.8%,8.4%,69.9%,49.4%,36.8%,9.9%,23.3%,5.9%,4.3%,N/A,N/A,N/A,N/A,N/A,N/A,1.0%,52.6%,0.7%,50.8%,46.3%,49.2%,31.6%,18.1%,23.6%,28.8%,14.3%,20.0%,31.0%,34.5%,40.0%,154,64.1%,47.5%,2.37,5.2%,9.4%,3.8,40.3%,36.0%,23.5%,37.5%,48.0%,8.2%,-3.7,-3.1,0.0%,-,5.4%,45.5%,6.1%,7.5%,0.0%,8.3%,28.6%,1.6%,60.0%,1,13
3,Noma Noha Akugue,235,142,2.8%,5.4%,58.6%,59.1%,45.3%,9.7%,35.8%,6.5%,2.4%,N/A,N/A,N/A,N/A,N/A,N/A,6.5%,38.7%,0.0%,58.1%,44.7%,29.4%,50.0%,14.3%,26.4%,55.8%,14.9%,45.8%,7.5%,13.2%,42.9%,-44,78.6%,49.5%,2.29,43.0%,0.0%,5.4,43.8%,53.1%,46.8%,48.8%,60.6%,3.7%,4.3,0.9,0.0%,-,13.3%,63.8%,11.9%,19.6%,11.3%,7.5%,24.1%,1.3%,6.3%,46,23
5,Elizabeth Mandlik,237,97,2.6%,6.0%,54.4%,61.1%,41.8%,8.2%,19.6%,5.7%,1.4%,98.1,100.0,93.2,81.9,82.0,79.8,1.6%,54.4%,0.8%,54.8%,46.9%,46.0%,45.8%,29.8%,35.3%,51.0%,40.0%,50.7%,11.2%,14.4%,38.7%,-12,68.6%,56.4%,2.60,5.3%,16.5%,4.3,41.4%,53.7%,61.8%,57.6%,50.7%,16.9%,5.0,-1.4,0.6%,50.0%,5.9%,61.9%,9.1%,16.5%,11.1%,4.0%,5.4%,2.1%,44.4%,-43,-22
1,Angela Fita Boluda,238,220,2.6%,3.6%,71.8%,58.6%,40.0%,16.1%,18.8%,11.7%,3.9%,N/A,N/A,N/A,N/A,N/A,N/A,1.2%,52.3%,1.8%,55.7%,44.3%,47.9%,45.0%,24.3%,40.5%,53.6%,0.0%,75.0%,14.3%,21.4%,25.0%,-23,76.7%,37.0%,2.29,7.1%,0.0%,4.5,51.9%,41.9%,31.8%,57.1%,59.4%,15.1%,0.9,0.7,0.0%,-,6.3%,71.4%,15.6%,33.3%,100.0%,12.1%,30.8%,2.8%,16.7%,4,1
44,Lesia Tsurenko,239,23,1.6%,6.3%,65.5%,58.8%,44.2%,11.5%,22.0%,5.6%,4.2%,90.0,91.6,86.5,79.5,79.5,78.3,1.8%,54.6%,1.6%,53.4%,45.4%,46.3%,43.5%,18.1%,26.3%,45.4%,37.7%,26.2%,16.3%,20.0%,39.0%,35,73.9%,54.7%,2.38,6.7%,8.4%,4.8,45.1%,50.3%,48.7%,48.0%,49.6%,10.1%,2.1,1.8,0.1%,66.7%,6.8%,66.8%,9.1%,13.9%,7.8%,7.5%,18.1%,0.3%,18.4%,-33,-29
1,Lina Glushko,240,201,5.4%,3.8%,63.9%,67.3%,45.8%,13.8%,26.7%,7.9%,6.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.0%,57.3%,1.0%,54.4%,47.6%,48.5%,36.2%,8.8%,29.4%,45.2%,36.4%,18.2%,27.3%,36.4%,18.8%,-3,79.3%,52.2%,2.26,35.7%,4.3%,4.1,45.2%,35.3%,54.5%,44.4%,50.5%,2.0%,-0.5,-3.1,0.0%,-,9.5%,45.5%,11.3%,36.4%,0.0%,12.9%,33.3%,0.0%,-,43,11
1,Tessah Andrianjafitrimo,241,139,0.6%,5.6%,60.0%,53.2%,36.8%,15.7%,14.2%,10.6%,5.9%,N/A,N/A,N/A,N/A,N/A,N/A,0.9%,52.7%,0.6%,54.2%,47.6%,48.4%,52.1%,3.9%,9.8%,55.1%,16.7%,47.1%,17.2%,20.7%,45.8%,46,65.1%,41.5%,2.35,63.3%,15.8%,5.2,38.8%,44.7%,50.0%,50.0%,69.8%,16.1%,-2.4,-0.7,0.0%,-,27.5%,58.5%,3.0%,4.3%,3.8%,9.6%,18.2%,0.3%,0.0%,-77,-83
2,Irene Burillo Escorihuela,244,207,0.3%,3.7%,66.8%,52.6%,42.1%,11.8%,26.0%,9.0%,2.9%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,52.5%,0.6%,51.4%,49.0%,50.4%,37.9%,5.3%,11.7%,39.3%,95.5%,44.4%,12.5%,12.5%,34.3%,-46,85.0%,53.1%,2.32,0.0%,5.4%,6.0,47.4%,42.6%,45.5%,46.4%,59.4%,13.4%,2.0,-2.2,0.0%,-,5.5%,68.8%,8.8%,14.1%,10.3%,3.5%,10.7%,1.0%,62.5%,-46,-67
1,Sada Nahimana,245,244,2.0%,6.0%,56.0%,46.4%,36.4%,7.0%,25.0%,5.6%,1.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.0%,53.0%,0.8%,54.9%,51.2%,45.5%,33.3%,14.3%,14.3%,37.5%,30.0%,88.9%,21.1%,21.1%,26.7%,61,68.0%,38.2%,2.43,8.3%,21.4%,4.0,34.5%,43.3%,40.0%,40.0%,58.0%,17.6%,-17.8,-1.9,0.0%,-,8.0%,87.5%,3.1%,4.2%,0.0%,2.6%,33.3%,3.7%,33.3%,23,12
