Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
19,Felix Auger Aliassime,CAN,1,164,53.8%,7.7%,7,9.0%,10,12.8%,52.6%,68.3%,37.8%,53.8%,16,62.5%,34.9%,2,50.0%,43.9%,0.76,2:03
,Reilly Opelka,USA,1,249,78.9%,15.8%,23,17.0%,10,7.4%,60.0%,72.8%,38.9%,59.3%,11,63.6%,30.7%,6,50.0%,46.2%,0.75,2:54
Q,Timofey Skatov,KAZ,1,241,81.3%,11.8%,3,2.2%,7,5.2%,57.0%,70.1%,44.8%,59.3%,9,66.7%,30.2%,4,50.0%,46.5%,0.74,2:55
Q,Radu Albot,MDA,1,176,53.8%,7.7%,2,2.2%,3,3.2%,72.0%,58.2%,38.5%,52.7%,16,62.5%,34.9%,3,33.3%,44.3%,0.74,2:07
,Mackenzie Mcdonald,USA,1,192,46.7%,25.0%,4,4.1%,6,6.1%,58.2%,54.4%,43.9%,50.0%,15,46.7%,36.2%,11,36.4%,43.2%,0.72,2:24
WC,Matthew Forbes,USA,1,215,66.7%,13.3%,5,4.5%,7,6.3%,65.2%,61.6%,38.5%,53.6%,14,64.3%,33.0%,11,18.2%,43.7%,0.71,2:28
,Thiago Monteiro,BRA,1,173,71.4%,6.7%,6,6.7%,6,6.7%,65.6%,62.7%,51.6%,58.9%,16,75.0%,28.9%,2,50.0%,44.5%,0.70,2:17
WC,Zachary Svajda,USA,1,159,41.7%,8.3%,1,1.4%,4,5.7%,47.1%,57.6%,40.5%,48.6%,12,41.7%,36.0%,9,11.1%,41.5%,0.70,1:44
Q,Diego Schwartzman,ARG,1,236,55.6%,5.9%,2,1.7%,2,1.7%,63.5%,53.4%,50.0%,52.2%,16,50.0%,33.1%,6,16.7%,42.4%,0.69,2:42
LL,Maximilian Marterer,GER,1,232,66.7%,5.3%,7,6.0%,5,4.3%,63.2%,60.8%,48.8%,56.4%,16,62.5%,29.6%,7,14.3%,43.1%,0.68,2:53
Q,Eliot Spizzirri,USA,1,155,35.7%,28.6%,1,1.3%,6,7.9%,52.6%,45.0%,38.9%,42.1%,13,30.8%,38.0%,7,57.1%,40.0%,0.66,1:58
Q,Kyrian Jacquet,FRA,1,169,57.1%,7.7%,1,1.1%,2,2.2%,67.4%,53.3%,48.3%,51.7%,16,62.5%,31.3%,6,16.7%,42.0%,0.65,1:45
,Sumit Nagal,IND,1,176,57.1%,14.3%,2,2.1%,5,5.3%,66.0%,61.3%,46.9%,56.4%,11,45.5%,28.0%,3,66.7%,43.2%,0.64,2:20
,Federico Coria,ARG,1,158,41.7%,15.4%,2,2.3%,7,8.1%,61.6%,62.3%,24.2%,47.7%,15,53.3%,33.3%,3,66.7%,41.1%,0.64,1:41
,Corentin Moutet,FRA,1,172,50.0%,7.7%,1,1.1%,5,5.7%,54.0%,59.6%,40.0%,50.6%,13,53.8%,31.8%,7,14.3%,41.3%,0.64,2:13
,Albert Ramos,ESP,1,188,66.7%,7.1%,1,1.0%,4,3.8%,54.3%,59.6%,60.4%,60.0%,9,44.4%,25.3%,2,50.0%,44.7%,0.63,2:21
WC,Stan Wawrinka,SUI,1,191,80.0%,6.3%,9,8.9%,7,6.9%,47.5%,79.2%,52.8%,65.3%,6,50.0%,21.1%,3,33.3%,44.5%,0.61,2:13
,Pablo Carreno Busta,ESP,1,147,41.7%,15.4%,1,1.4%,5,6.8%,57.5%,59.5%,29.0%,46.6%,9,22.2%,32.4%,5,40.0%,39.5%,0.61,2:12
,Camilo Ugo Carabelli,ARG,1,155,46.2%,14.3%,1,1.3%,7,8.9%,38.0%,63.3%,40.8%,49.4%,11,36.4%,30.3%,4,50.0%,40.0%,0.60,1:51
,Fabio Fognini,ITA,1,158,57.1%,7.1%,3,3.9%,8,10.5%,47.4%,69.4%,37.5%,52.6%,7,14.3%,28.0%,7,14.3%,39.9%,0.59,1:46
,Constant Lestienne,FRA,1,159,50.0%,0.0%,1,1.3%,6,7.7%,56.4%,61.4%,32.4%,48.7%,16,62.5%,29.6%,7,0.0%,39.0%,0.58,1:59
Q,Quentin Halys,FRA,1,246,73.7%,0.0%,18,12.7%,12,8.5%,56.3%,72.5%,41.9%,59.2%,16,68.8%,23.1%,2,0.0%,43.9%,0.56,2:43
,Thiago Seyboth Wild,BRA,1,191,76.5%,6.3%,6,5.7%,8,7.6%,51.4%,70.4%,52.9%,61.9%,6,33.3%,20.9%,2,50.0%,43.5%,0.55,2:20
Q,Li Tu,AUS,1,211,58.8%,11.8%,2,1.7%,6,5.0%,55.4%,59.7%,42.6%,52.1%,19,63.2%,25.6%,6,33.3%,40.8%,0.53,2:42
Q,Bu Yunchaokete,CHN,1,171,57.1%,14.3%,11,12.0%,2,2.2%,50.0%,67.4%,32.6%,50.0%,9,33.3%,26.6%,3,66.7%,39.2%,0.53,2:14
,Soon Woo Kwon,KOR,1,169,60.0%,7.1%,6,6.3%,13,13.7%,54.7%,67.3%,34.9%,52.6%,10,40.0%,24.3%,5,20.0%,40.2%,0.51,2:01
15,Holger Rune,DEN,1,157,58.3%,0.0%,2,2.4%,5,6.0%,39.3%,69.7%,41.2%,52.4%,13,61.5%,23.3%,6,0.0%,38.9%,0.49,1:55
,Hugo Gaston,FRA,1,144,50.0%,7.7%,2,2.6%,4,5.3%,46.1%,54.3%,43.9%,48.7%,11,45.5%,25.0%,4,25.0%,37.5%,0.49,1:47
,Zhizhen Zhang,CHN,1,105,30.0%,0.0%,1,1.8%,1,1.8%,65.5%,47.2%,31.6%,41.8%,10,30.0%,24.0%,1,0.0%,33.3%,0.41,1:06
,Giovanni Mpetshi Perricard,FRA,1,159,64.3%,0.0%,15,15.5%,14,14.4%,53.6%,69.2%,40.0%,55.7%,14,64.3%,14.5%,0,-,39.6%,0.33,1:58
WC,Dominic Thiem,AUT,1,154,61.5%,0.0%,2,2.2%,7,7.5%,46.2%,67.4%,44.0%,54.8%,11,54.5%,13.1%,1,0.0%,38.3%,0.29,1:50
,All Main Draw Players,,127.0,,76.2%,23.8%,,8.4%,,5.4%,56.7%,72.1%,48.8%,62.0%,,59.9%,38.0%,,40.1%,50.0%,1.00,
