Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Robby Ginepri,USA,1,292,63.2%,15.0%,9,6.1%,4,2.7%,63.5%,60.6%,50.0%,56.8%,21,66.7%,35.4%,15,20.0%,46.2%,0.82,2:50
,Nicolas Almagro,ESP,1,232,73.3%,12.5%,9,7.7%,12,10.3%,57.3%,68.7%,42.0%,57.3%,12,66.7%,34.8%,5,40.0%,46.1%,0.81,2:06
Q,Adrian Garcia,CHI,1,199,80.0%,6.3%,2,2.1%,7,7.4%,65.3%,69.4%,51.5%,63.2%,9,66.7%,29.8%,10,10.0%,45.7%,0.81,1:59
WC,Alex Bogdanovic,GBR,1,245,50.0%,21.1%,7,5.5%,5,3.9%,64.1%,64.6%,32.6%,53.1%,18,50.0%,37.6%,10,40.0%,45.7%,0.80,2:08
,Santiago Ventura,ESP,1,180,60.0%,13.3%,5,5.8%,5,5.8%,58.1%,66.0%,41.7%,55.8%,8,25.0%,35.1%,9,22.2%,45.0%,0.79,1:43
,Jerome Haehnel,FRA,1,200,72.2%,11.8%,2,2.1%,2,2.1%,64.9%,63.5%,55.9%,60.8%,6,16.7%,31.1%,10,20.0%,45.5%,0.79,1:43
WC,Jonathan Marray,GBR,1,283,76.2%,18.2%,5,3.1%,8,4.9%,62.6%,59.8%,54.1%,57.7%,23,78.3%,33.3%,5,80.0%,47.3%,0.79,2:50
,Philipp Kohlschreiber,GER,1,220,64.7%,16.7%,8,7.3%,5,4.5%,62.7%,66.7%,39.0%,56.4%,13,53.8%,34.5%,6,50.0%,45.5%,0.79,2:06
,Alberto Martin,ESP,1,196,64.7%,5.9%,2,2.2%,3,3.3%,62.6%,66.7%,55.9%,62.6%,10,40.0%,29.5%,8,12.5%,44.9%,0.79,1:50
,Potito Starace,ITA,1,199,78.6%,6.3%,10,11.0%,2,2.2%,70.3%,71.9%,40.7%,62.6%,8,62.5%,29.6%,3,33.3%,44.7%,0.79,1:44
,Bjorn Phau,GER,1,354,85.2%,7.4%,17,8.9%,9,4.7%,50.8%,74.2%,56.4%,65.4%,15,73.3%,27.0%,6,33.3%,47.7%,0.78,3:33
,Oscar Hernandez,ESP,1,77,83.3%,0.0%,0,0.0%,3,9.4%,62.5%,80.0%,41.7%,65.6%,2,50.0%,26.7%,4,0.0%,42.9%,0.78,0:54
17,David Ferrer,ESP,1,198,64.3%,13.3%,6,5.8%,5,4.9%,63.1%,64.6%,42.1%,56.3%,10,50.0%,33.7%,7,28.6%,45.5%,0.77,2:05
,Ivo Minar,CZE,2,356,82.1%,13.8%,14,7.3%,7,3.6%,60.1%,73.3%,42.9%,61.1%,11,54.5%,30.1%,8,50.0%,46.9%,0.77,2:56
,Thomas Enqvist,SWE,1,273,77.3%,4.8%,15,10.1%,10,6.7%,62.4%,71.0%,46.4%,61.7%,12,58.3%,29.0%,2,50.0%,46.9%,0.76,2:38
,Scott Draper,AUS,1,196,73.3%,12.5%,6,6.0%,4,4.0%,64.0%,67.2%,41.7%,58.0%,7,42.9%,31.3%,4,50.0%,44.9%,0.74,1:43
