Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
Q,Jesse Huta Galung,NED,1,249,72.2%,25.0%,8,6.6%,12,9.8%,52.5%,78.1%,39.7%,59.8%,12,58.3%,38.6%,13,38.5%,49.0%,0.96,3:26
,Adrian Mannarino,FRA,1,239,66.7%,21.1%,7,6.9%,3,3.0%,68.3%,69.6%,34.4%,58.4%,8,25.0%,39.9%,13,30.8%,47.7%,0.96,2:59
,Bernard Tomic,AUS,4,1105,80.0%,18.1%,25,4.3%,8,1.4%,67.0%,66.2%,55.7%,62.7%,43,60.5%,35.4%,45,33.3%,49.8%,0.95,11:57
,Denis Istomin,UZB,1,232,70.0%,15.8%,9,8.0%,3,2.7%,69.6%,64.1%,52.9%,60.7%,9,33.3%,36.7%,9,33.3%,48.3%,0.93,2:54
,Blaz Kavcic,SLO,2,372,67.7%,27.6%,5,2.4%,14,6.6%,58.8%,70.2%,40.2%,57.8%,19,47.4%,39.1%,14,57.1%,49.7%,0.93,4:59
LL,Rik De Voest,RSA,1,267,77.3%,13.6%,10,7.4%,0,0.0%,67.4%,67.0%,52.3%,62.2%,10,50.0%,34.8%,9,33.3%,48.7%,0.92,3:30
Q,Andrey Golubev,KAZ,2,527,64.9%,32.4%,16,5.8%,15,5.4%,63.3%,59.7%,43.1%,53.6%,39,66.7%,42.2%,22,54.5%,48.2%,0.91,6:32
WC,James Duckworth,AUS,2,416,85.7%,21.2%,20,8.5%,9,3.8%,66.2%,70.3%,49.4%,63.2%,19,73.7%,33.5%,14,50.0%,50.2%,0.91,4:50
Q,Illya Marchenko,UKR,1,375,76.0%,14.8%,2,1.1%,18,10.2%,55.1%,68.0%,43.0%,56.8%,19,68.4%,38.7%,13,30.8%,47.2%,0.90,4:26
22,Fernando Verdasco,ESP,1,349,73.1%,15.4%,15,8.4%,11,6.2%,59.6%,66.0%,50.0%,59.6%,21,66.7%,36.3%,13,30.8%,48.1%,0.90,4:11
,Nicolas Mahut,FRA,3,577,62.2%,30.2%,16,5.4%,11,3.7%,64.4%,65.6%,34.0%,54.4%,34,50.0%,40.9%,33,39.4%,47.8%,0.90,6:44
,Cedrik Marcel Stebe,GER,1,281,72.7%,19.0%,13,8.6%,6,4.0%,58.9%,66.3%,50.0%,59.6%,19,68.4%,36.2%,10,40.0%,48.8%,0.89,3:58
,Nikolay Davydenko,RUS,1,273,50.0%,40.9%,3,2.2%,8,5.8%,65.5%,52.7%,43.8%,49.6%,22,50.0%,44.8%,11,81.8%,47.3%,0.89,3:21
,Potito Starace,ITA,1,215,73.7%,10.5%,9,8.7%,3,2.9%,70.9%,68.5%,60.0%,66.0%,9,44.4%,30.4%,7,28.6%,47.4%,0.89,2:24
,Lukasz Kubot,POL,1,265,80.0%,15.0%,7,5.1%,15,11.0%,55.1%,70.7%,47.5%,60.3%,11,63.6%,34.9%,12,25.0%,47.9%,0.88,3:02
,Eric Prodon,FRA,1,253,70.0%,15.0%,14,11.0%,3,2.4%,68.5%,55.2%,67.5%,59.1%,14,57.1%,35.7%,10,30.0%,47.4%,0.87,2:32
,Juan Carlos Ferrero,ESP,1,324,76.0%,12.0%,3,1.8%,3,1.8%,62.6%,65.7%,59.0%,63.2%,12,50.0%,31.7%,9,33.3%,47.5%,0.86,3:47
,Grigor Dimitrov,BUL,2,597,77.1%,14.9%,24,7.6%,11,3.5%,58.6%,72.3%,45.4%,61.1%,44,75.0%,33.2%,22,31.8%,47.9%,0.85,6:46
,Leonardo Mayer,ARG,1,247,87.5%,5.9%,13,11.0%,9,7.6%,54.2%,71.9%,51.9%,62.7%,10,80.0%,31.8%,12,8.3%,46.6%,0.85,3:18
,Ryan Harrison,USA,1,242,72.2%,10.5%,8,6.6%,8,6.6%,63.1%,66.2%,46.7%,59.0%,14,64.3%,34.2%,7,28.6%,46.7%,0.83,3:12
31,Jurgen Melzer,AUT,1,206,70.6%,12.5%,2,2.0%,8,7.8%,64.7%,71.2%,44.4%,61.8%,10,50.0%,31.7%,7,28.6%,46.6%,0.83,2:04
,Pere Riba,ESP,2,350,61.5%,19.2%,16,9.4%,3,1.8%,58.8%,64.0%,42.9%,55.3%,20,50.0%,36.7%,16,31.3%,45.7%,0.82,4:03
29,Radek Stepanek,CZE,1,213,62.5%,17.6%,3,2.9%,3,2.9%,68.6%,60.0%,40.6%,53.9%,16,62.5%,37.8%,9,33.3%,45.5%,0.82,2:40
WC,Marinko Matosevic,AUS,1,223,66.7%,13.3%,3,2.7%,7,6.3%,54.5%,67.2%,37.3%,53.6%,11,54.5%,37.8%,10,20.0%,45.7%,0.81,2:22
,Michael Russell,USA,1,234,53.3%,31.3%,3,2.6%,7,6.0%,62.1%,55.6%,47.7%,52.6%,14,50.0%,38.1%,11,45.5%,45.3%,0.80,3:06
Q,James Ward,GBR,1,177,64.3%,20.0%,7,9.2%,3,3.9%,47.4%,66.7%,45.0%,55.3%,11,54.5%,35.6%,7,42.9%,44.1%,0.80,2:17
,Jarkko Nieminen,FIN,1,102,55.6%,25.0%,3,5.2%,1,1.7%,62.1%,44.4%,54.5%,48.3%,5,20.0%,40.9%,4,50.0%,45.1%,0.79,1:07
Q,Peter Gojowczyk,GER,1,240,55.0%,20.0%,4,3.3%,4,3.3%,58.5%,56.9%,43.1%,51.2%,17,47.1%,38.5%,9,44.4%,45.0%,0.79,2:38
,Fabio Fognini,ITA,1,237,56.3%,11.8%,2,1.7%,8,6.7%,55.5%,65.2%,37.7%,52.9%,11,36.4%,37.3%,7,28.6%,45.1%,0.79,2:30
,Edouard Roger-Vasselin,FRA,2,272,73.7%,5.0%,8,5.8%,2,1.4%,61.6%,68.2%,49.1%,60.9%,14,64.3%,29.9%,8,12.5%,45.6%,0.76,3:02
Q,Danai Udomchoke,THA,1,271,56.5%,22.7%,4,2.9%,4,2.9%,60.3%,58.5%,48.1%,54.4%,13,23.1%,34.8%,11,45.5%,44.6%,0.76,3:20
WC,Jesse Levine,CAN,1,321,80.0%,11.5%,7,4.1%,3,1.7%,69.2%,67.2%,45.3%,60.5%,16,68.8%,29.5%,7,42.9%,46.1%,0.75,4:03
,Dudi Sela,ISR,1,218,68.8%,13.3%,7,5.9%,5,4.2%,54.6%,64.6%,50.0%,58.0%,10,50.0%,31.3%,6,33.3%,45.9%,0.75,2:24
,Albert Ramos,ESP,1,226,73.7%,10.0%,4,3.5%,4,3.5%,54.0%,68.9%,51.9%,61.1%,7,28.6%,29.2%,4,50.0%,45.1%,0.75,2:52
