Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Q,Hugo Gaston,FRA,2,315,66.7%,28.0%,6,3.5%,5,2.9%,50.9%,60.9%,54.8%,57.9%,24,62.5%,37.5%,13,53.8%,48.6%,0.89,3:25
,Mackenzie Mcdonald,USA,2,455,82.4%,14.3%,13,5.3%,3,1.2%,63.3%,67.7%,52.2%,62.0%,30,80.0%,33.8%,11,45.5%,49.0%,0.89,5:43
,Dusan Lajovic,SRB,1,283,77.3%,21.7%,13,8.8%,3,2.0%,60.5%,71.9%,39.7%,59.2%,10,50.0%,36.0%,8,62.5%,48.1%,0.88,2:58
,Alex Molcan,SVK,1,366,82.8%,6.9%,8,4.4%,9,4.9%,58.2%,70.8%,57.9%,65.4%,14,64.3%,30.4%,7,28.6%,47.8%,0.88,4:38
5,Casper Ruud,NOR,2,530,82.2%,15.9%,11,3.9%,5,1.8%,64.0%,71.3%,52.9%,64.7%,28,71.4%,30.4%,13,53.8%,48.7%,0.86,6:36
,Juan Pablo Varillas,PER,2,407,62.5%,18.8%,16,8.0%,6,3.0%,57.5%,64.3%,48.2%,57.5%,20,40.0%,36.2%,21,28.6%,46.7%,0.85,4:54
,Gregoire Barrere,FRA,1,256,81.0%,10.0%,3,2.4%,4,3.1%,59.8%,71.1%,54.9%,64.6%,9,55.6%,30.2%,4,50.0%,47.3%,0.85,2:58
,Yibing Wu,CHN,2,423,64.7%,15.2%,6,2.8%,12,5.6%,60.5%,61.5%,51.8%,57.7%,26,53.8%,36.1%,11,45.5%,47.0%,0.85,4:25
Q,Zachary Svajda,USA,1,264,71.4%,15.0%,5,3.8%,3,2.3%,56.8%,69.3%,43.9%,58.3%,18,66.7%,35.6%,11,27.3%,47.0%,0.85,2:57
LL,James Duckworth,AUS,1,217,81.3%,6.3%,7,6.9%,3,3.0%,56.4%,61.4%,61.4%,61.4%,8,62.5%,32.8%,11,9.1%,46.1%,0.85,2:15
27,Borna Coric,CRO,1,200,66.7%,6.3%,3,3.4%,2,2.3%,60.2%,62.3%,54.3%,59.1%,10,50.0%,34.8%,7,14.3%,45.5%,0.85,2:35
,Sebastian Ofner,AUT,2,428,72.2%,14.3%,24,11.2%,8,3.7%,63.3%,70.6%,44.3%,60.9%,16,37.5%,32.9%,10,50.0%,47.0%,0.84,4:27
,Botic Van De Zandschulp,NED,2,267,71.4%,20.0%,9,6.3%,8,5.6%,55.6%,68.4%,47.6%,59.2%,14,57.1%,34.4%,13,30.8%,47.6%,0.84,3:34
,Guido Pella,ARG,1,186,87.5%,0.0%,7,7.6%,5,5.4%,50.0%,82.6%,60.9%,71.7%,4,50.0%,23.4%,2,0.0%,47.3%,0.83,2:06
,Juan Manuel Cerundolo,ARG,2,455,65.8%,27.8%,10,4.1%,10,4.1%,54.5%,67.4%,38.2%,54.1%,23,43.5%,38.0%,19,52.6%,46.6%,0.83,5:16
,Christopher Oconnell,AUS,2,502,69.2%,17.5%,21,8.0%,4,1.5%,61.6%,69.1%,45.5%,60.1%,31,61.3%,33.1%,19,36.8%,47.2%,0.83,5:56
,Pedro Cachin,ARG,1,186,76.5%,11.8%,5,5.4%,7,7.5%,61.3%,66.7%,55.6%,62.4%,4,0.0%,31.2%,2,100.0%,46.8%,0.83,2:07
,Yosuke Watanuki,JPN,1,291,79.2%,4.5%,16,10.1%,8,5.0%,53.5%,71.8%,52.7%,62.9%,12,58.3%,29.5%,6,16.7%,47.8%,0.80,3:35
,Marc Andrea Huesler,SUI,1,288,76.9%,16.0%,11,7.5%,8,5.4%,61.2%,74.4%,40.4%,61.2%,13,53.8%,30.5%,7,57.1%,46.2%,0.79,3:12
,Marton Fucsovics,HUN,2,498,71.1%,7.5%,13,5.0%,13,5.0%,58.5%,68.4%,45.4%,58.8%,22,50.0%,31.5%,8,37.5%,45.8%,0.77,6:25
,Luca Van Assche,FRA,1,259,80.0%,10.5%,6,4.3%,5,3.6%,61.9%,68.6%,41.5%,58.3%,13,69.2%,31.7%,6,33.3%,45.9%,0.76,3:35
,Constant Lestienne,FRA,1,259,52.6%,16.7%,8,6.2%,7,5.4%,56.6%,64.4%,37.5%,52.7%,18,50.0%,36.2%,14,21.4%,44.4%,0.76,3:10
Q,Timofey Skatov,KAZ,1,210,55.6%,22.2%,2,1.9%,3,2.9%,66.3%,55.1%,48.6%,52.9%,14,42.9%,35.8%,6,66.7%,44.3%,0.76,2:42
,Albert Ramos,ESP,1,173,60.0%,14.3%,3,3.3%,1,1.1%,70.3%,62.5%,40.7%,56.0%,9,33.3%,32.9%,4,50.0%,45.1%,0.75,2:00
,Brandon Nakashima,USA,1,191,68.8%,12.5%,3,3.0%,4,4.0%,61.0%,65.6%,43.6%,57.0%,5,0.0%,31.9%,2,100.0%,45.0%,0.74,2:21
,Marcos Giron,USA,1,163,64.3%,7.1%,6,8.0%,4,5.3%,56.0%,64.3%,48.5%,57.3%,9,44.4%,30.7%,10,10.0%,42.9%,0.72,1:56
