Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Julien Benneteau,FRA,3,655,70.4%,32.7%,16,5.0%,12,3.7%,64.6%,66.8%,42.1%,58.1%,26,38.5%,41.4%,33,54.5%,49.6%,0.99,7:30
24,Jonas Bjorkman,SWE,2,559,66.7%,32.5%,14,4.8%,15,5.1%,50.0%,64.4%,48.6%,56.5%,38,63.2%,42.7%,29,44.8%,49.9%,0.98,6:02
,Sargis Sargsian,ARM,1,306,61.9%,33.3%,0,0.0%,4,3.1%,61.7%,64.6%,42.9%,56.3%,12,33.3%,42.7%,22,31.8%,48.4%,0.98,3:40
,Victor Hanescu,ROU,2,444,72.7%,29.4%,13,5.9%,7,3.2%,67.4%,65.8%,45.8%,59.3%,19,52.6%,39.9%,18,55.6%,49.5%,0.98,4:49
Q,Alejandro Falla,COL,2,441,57.6%,37.5%,6,2.4%,8,3.3%,61.4%,57.6%,45.3%,52.8%,38,63.2%,45.6%,23,52.2%,49.7%,0.97,4:12
6,Andre Agassi,USA,1,209,80.0%,6.3%,4,4.1%,2,2.1%,57.7%,73.2%,51.2%,63.9%,10,70.0%,34.8%,3,33.3%,48.3%,0.97,2:02
25,Ivan Ljubicic,CRO,2,560,78.0%,23.8%,32,11.3%,10,3.5%,62.3%,71.2%,43.0%,60.6%,19,52.6%,38.4%,20,50.0%,49.6%,0.97,6:03
32,Arnaud Clement,FRA,1,463,70.6%,25.0%,10,4.3%,9,3.8%,51.7%,69.4%,46.0%,58.1%,27,63.0%,40.2%,22,40.9%,49.2%,0.96,6:33
,Raemon Sluiter,NED,3,607,80.0%,19.6%,30,9.8%,9,2.9%,58.6%,74.4%,49.6%,64.2%,21,52.4%,34.3%,22,45.5%,49.4%,0.96,6:19
Q,Florian Mayer,GER,2,441,79.4%,25.0%,7,2.9%,12,4.9%,56.0%,66.2%,57.9%,62.6%,20,65.0%,35.9%,14,57.1%,50.6%,0.96,4:09
13,Paradorn Srichaphan,THA,2,444,73.5%,25.0%,12,4.8%,9,3.6%,66.0%,67.9%,45.9%,60.4%,27,66.7%,38.1%,14,57.1%,50.7%,0.96,4:42
,Guillermo Canas,ARG,1,297,52.4%,36.4%,0,0.0%,4,2.7%,59.6%,59.8%,42.4%,52.7%,19,47.4%,45.0%,14,57.1%,48.8%,0.95,3:39
30,Mariano Zabaleta,ARG,2,403,70.6%,33.3%,9,4.3%,8,3.8%,57.6%,62.8%,52.8%,58.6%,20,50.0%,39.4%,18,61.1%,49.4%,0.95,4:24
,Albert Portas,ESP,1,286,61.9%,31.8%,3,2.2%,6,4.4%,61.8%,60.7%,46.2%,55.1%,12,33.3%,42.7%,17,41.2%,48.6%,0.95,3:08
,Robin Soderling,SWE,1,320,82.6%,21.7%,14,8.0%,7,4.0%,59.4%,73.1%,45.1%,61.7%,17,76.5%,36.6%,19,26.3%,50.3%,0.95,3:12
29,Max Mirnyi,BLR,1,246,75.0%,20.0%,7,5.7%,11,8.9%,64.2%,74.7%,38.6%,61.8%,11,54.5%,35.8%,10,40.0%,48.8%,0.94,2:46
,Todd Martin,USA,1,215,82.4%,5.9%,13,12.5%,3,2.9%,60.6%,74.6%,58.5%,68.3%,6,50.0%,29.7%,6,16.7%,48.4%,0.94,2:00
,Fabrice Santoro,FRA,3,870,69.6%,25.8%,25,5.6%,4,0.9%,51.0%,67.1%,48.9%,58.2%,46,54.3%,39.0%,43,39.5%,48.9%,0.93,11:35
,Hicham Arazi,MAR,1,342,73.1%,11.5%,8,4.7%,1,0.6%,66.5%,67.3%,52.6%,62.4%,13,46.2%,34.9%,10,30.0%,48.5%,0.93,3:42
,Ruben Ramirez Hidalgo,ESP,1,324,84.0%,12.0%,2,1.2%,5,2.9%,78.8%,67.9%,50.0%,64.1%,14,71.4%,33.1%,10,30.0%,49.4%,0.92,3:18
,Cyril Saulnier,FRA,1,324,76.9%,20.0%,6,3.5%,11,6.4%,52.3%,66.7%,52.4%,59.9%,19,68.4%,36.8%,9,55.6%,49.1%,0.92,3:48
,David Sanchez,ESP,1,306,54.2%,29.2%,2,1.3%,3,1.9%,63.7%,63.7%,34.5%,53.1%,16,31.3%,43.2%,13,53.8%,48.4%,0.92,3:08
,Galo Blanco,ESP,3,719,66.7%,27.3%,12,3.2%,14,3.8%,58.8%,62.4%,51.0%,57.7%,38,50.0%,39.1%,32,46.9%,48.7%,0.92,7:57
27,Vincent Spadea,USA,2,601,65.9%,20.9%,7,2.2%,7,2.2%,59.7%,62.1%,50.0%,57.2%,38,60.5%,38.9%,28,32.1%,48.6%,0.91,7:00
,Nicolas Lapentti,ECU,1,247,66.7%,23.8%,7,5.6%,5,4.0%,65.9%,72.3%,34.9%,59.5%,11,36.4%,36.4%,11,45.5%,48.2%,0.90,2:57
,Antony Dupuis,FRA,1,268,65.0%,19.0%,6,4.7%,5,3.9%,50.4%,64.6%,51.6%,58.1%,9,22.2%,37.4%,12,33.3%,47.4%,0.89,3:12
,Taylor Dent,USA,1,281,52.4%,40.9%,5,3.9%,9,7.0%,68.0%,58.6%,29.3%,49.2%,15,33.3%,44.4%,25,36.0%,46.6%,0.88,3:01
,Fernando Vicente,ESP,2,375,60.0%,22.6%,4,2.2%,9,4.8%,61.3%,66.7%,40.3%,56.5%,22,45.5%,38.1%,13,53.8%,47.2%,0.87,3:42
,Tomas Berdych,CZE,1,225,64.7%,16.7%,4,3.9%,6,5.9%,52.9%,72.2%,43.8%,58.8%,7,14.3%,35.8%,12,25.0%,46.2%,0.87,2:15
Q,Marc Gicquel,FRA,1,235,65.0%,26.3%,1,0.8%,2,1.7%,58.3%,60.0%,52.0%,56.7%,9,22.2%,37.4%,9,55.6%,47.2%,0.86,2:24
,Lars Burgsmuller,GER,2,390,67.7%,23.3%,3,1.4%,8,3.8%,57.3%,58.7%,52.2%,55.9%,20,50.0%,37.4%,14,50.0%,47.4%,0.85,4:16
WC,Nicolas Mahut,FRA,1,240,61.1%,21.1%,3,2.6%,9,7.9%,60.5%,55.1%,51.1%,53.5%,12,41.7%,39.7%,10,40.0%,46.3%,0.85,2:43
,Flavio Saretta,BRA,1,219,52.6%,21.1%,8,7.1%,4,3.6%,50.0%,66.1%,44.6%,55.4%,12,25.0%,37.4%,5,80.0%,46.6%,0.84,3:07
Q,Jerome Haehnel,FRA,2,404,81.3%,12.5%,6,2.9%,11,5.2%,55.2%,74.1%,46.8%,61.9%,10,40.0%,32.0%,14,28.6%,47.5%,0.84,3:52
7,Rainer Schuettler,GER,1,218,62.5%,18.8%,0,0.0%,2,1.8%,71.4%,61.3%,43.8%,56.3%,17,64.7%,36.8%,8,37.5%,46.8%,0.84,2:26
,Gilles Elseneer,BEL,2,490,70.3%,13.9%,14,5.4%,10,3.8%,66.3%,68.2%,39.8%,58.6%,30,63.3%,34.5%,15,33.3%,47.3%,0.83,4:47
WC,Stephane Robert,FRA,1,187,64.3%,13.3%,3,3.4%,2,2.3%,62.5%,67.3%,45.5%,59.1%,8,37.5%,33.3%,8,25.0%,45.5%,0.81,1:57
,Alex Bogomolov Jr,RUS,1,228,33.3%,38.9%,0,0.0%,4,3.1%,70.2%,50.0%,30.8%,44.3%,25,52.0%,45.4%,12,58.3%,44.7%,0.81,2:20
,Tommy Haas,GER,1,241,68.4%,16.7%,4,3.2%,10,7.9%,46.8%,66.1%,49.3%,57.1%,13,53.8%,34.8%,11,27.3%,46.5%,0.81,2:46
WC,Jean Rene Lisnard,MON,1,203,53.3%,20.0%,4,3.9%,5,4.9%,60.2%,59.7%,41.5%,52.4%,13,46.2%,38.0%,7,42.9%,45.3%,0.80,2:09
WC,Arnaud Di Pasquale,FRA,1,239,41.2%,33.3%,0,0.0%,4,3.6%,68.5%,46.1%,45.7%,45.9%,18,44.4%,43.0%,16,37.5%,44.4%,0.79,3:06
Q,Janko Tipsarevic,SRB,1,240,73.7%,15.8%,6,5.0%,3,2.5%,55.5%,69.7%,41.5%,57.1%,11,54.5%,33.9%,14,21.4%,45.4%,0.79,3:19
,Karol Beck,SVK,1,204,46.7%,26.7%,3,3.1%,7,7.2%,45.4%,59.1%,39.6%,48.5%,19,57.9%,40.2%,11,36.4%,44.1%,0.78,2:07
,Joachim Johansson,SWE,1,254,77.8%,11.1%,7,5.1%,10,7.3%,62.0%,67.1%,42.3%,57.7%,13,69.2%,32.5%,5,40.0%,46.1%,0.77,2:58
16,Fernando Gonzalez,CHI,1,263,66.7%,5.3%,5,4.2%,8,6.7%,63.3%,67.1%,45.5%,59.2%,9,33.3%,31.5%,10,10.0%,44.1%,0.77,2:25
,Robby Ginepri,USA,1,189,38.5%,23.1%,4,4.8%,4,4.8%,56.0%,53.2%,37.8%,46.4%,11,27.3%,41.0%,13,23.1%,43.4%,0.76,1:48
18,Mark Philippoussis,AUS,1,219,53.8%,20.0%,7,6.3%,12,10.8%,49.5%,63.6%,35.7%,49.5%,12,50.0%,38.0%,7,42.9%,43.8%,0.75,2:18
,Richard Gasquet,FRA,1,223,64.7%,23.5%,7,5.8%,11,9.1%,42.1%,74.5%,34.3%,51.2%,12,50.0%,36.3%,6,66.7%,44.4%,0.74,2:31
,Agustin Calleri,ARG,1,156,58.3%,16.7%,3,3.9%,7,9.1%,46.8%,63.9%,41.5%,51.9%,13,61.5%,35.4%,7,28.6%,43.6%,0.74,1:42
,Wayne Ferreira,RSA,1,267,65.0%,10.5%,5,3.5%,8,5.6%,52.8%,61.8%,50.0%,56.3%,13,46.2%,31.7%,9,22.2%,44.9%,0.72,2:36
,Jan Michael Gambill,USA,1,230,52.9%,17.6%,9,7.1%,3,2.4%,51.6%,66.2%,36.1%,51.6%,17,52.9%,34.6%,11,27.3%,43.9%,0.72,2:38
Q,Vladimir Voltchkov,BLR,2,491,61.5%,21.1%,12,4.3%,8,2.9%,62.0%,63.6%,40.6%,54.8%,37,59.5%,32.5%,13,61.5%,45.2%,0.72,5:38
,Thierry Ascione,FRA,1,158,41.7%,15.4%,0,0.0%,5,7.6%,62.1%,48.8%,48.0%,48.5%,7,0.0%,37.0%,6,33.3%,41.8%,0.72,1:44
,Filippo Volandri,ITA,1,181,46.2%,21.4%,0,0.0%,2,2.2%,74.4%,53.7%,43.5%,51.1%,13,46.2%,35.2%,10,30.0%,43.1%,0.72,1:45
,Kristian Pless,DEN,1,208,43.8%,23.5%,3,3.1%,15,15.3%,51.0%,52.0%,37.5%,44.9%,14,35.7%,39.1%,13,30.8%,41.8%,0.71,1:49
LL,Jeff Salzenstein,USA,1,266,52.6%,16.7%,15,9.6%,7,4.5%,57.1%,61.8%,40.3%,52.6%,31,71.0%,33.6%,8,37.5%,44.7%,0.71,2:34
Q,Alexander Peya,AUT,1,163,69.2%,0.0%,3,4.1%,4,5.4%,54.1%,65.0%,52.9%,59.5%,6,33.3%,28.1%,7,0.0%,42.3%,0.69,1:34
WC,Todd Reid,AUS,1,206,62.5%,5.9%,1,1.0%,2,2.0%,71.3%,59.7%,41.4%,54.5%,13,53.8%,31.4%,5,20.0%,42.7%,0.69,2:07
,Alexander Popp,GER,1,229,77.8%,5.3%,5,4.2%,15,12.7%,66.1%,71.8%,32.5%,58.5%,10,60.0%,28.8%,5,20.0%,44.1%,0.69,2:11
Q,Ricardo Mello,BRA,1,203,58.8%,16.7%,6,5.6%,8,7.4%,61.1%,66.7%,35.7%,54.6%,13,46.2%,30.5%,3,100.0%,43.3%,0.67,2:12
,Kenneth Carlsen,DEN,1,171,53.8%,14.3%,11,12.2%,5,5.6%,46.7%,64.3%,39.6%,51.1%,11,45.5%,32.1%,7,28.6%,42.1%,0.66,2:01
,John Van Lottum,NED,1,214,66.7%,16.7%,2,1.7%,5,4.2%,58.8%,60.0%,49.0%,55.5%,9,33.3%,28.4%,6,50.0%,43.5%,0.64,2:22
,Wayne Arthurs,AUS,1,172,71.4%,0.0%,7,8.1%,11,12.8%,41.9%,83.3%,46.0%,61.6%,8,50.0%,24.4%,2,0.0%,43.0%,0.64,1:55
,Dennis Van Scheppingen,NED,1,167,50.0%,0.0%,0,0.0%,5,6.0%,52.4%,61.4%,37.5%,50.0%,16,62.5%,31.3%,7,0.0%,40.7%,0.63,1:44
,Dmitry Tursunov,RUS,1,158,50.0%,15.4%,4,4.8%,8,9.6%,57.8%,64.6%,31.4%,50.6%,9,22.2%,30.7%,6,33.3%,41.1%,0.62,1:42
Q,Kevin Kim,USA,1,151,33.3%,16.7%,0,0.0%,1,1.4%,63.0%,50.0%,29.6%,42.5%,10,20.0%,35.9%,6,33.3%,39.1%,0.62,1:46
,Jan Vacek,CZE,1,168,46.2%,15.4%,3,3.3%,8,8.8%,61.5%,57.1%,31.4%,47.3%,14,50.0%,32.5%,8,25.0%,40.5%,0.62,1:45
LL,Marc Lopez,ESP,1,145,33.3%,16.7%,0,0.0%,1,1.3%,60.8%,41.7%,48.4%,44.3%,13,38.5%,33.3%,3,66.7%,39.3%,0.60,1:42
,Oscar Hernandez,ESP,1,50,0.0%,50.0%,0,0.0%,1,3.8%,73.1%,21.1%,57.1%,30.8%,9,55.6%,41.7%,4,50.0%,36.0%,0.60,0:33
,Olivier Rochus,BEL,1,141,33.3%,9.1%,0,0.0%,3,4.5%,62.1%,51.2%,36.0%,45.5%,13,38.5%,32.0%,7,14.3%,38.3%,0.59,1:31
,Alberto Martin,ESP,1,176,46.2%,15.4%,0,0.0%,8,7.3%,66.1%,55.6%,35.1%,48.6%,22,68.2%,29.9%,4,50.0%,41.5%,0.58,1:58
,Harel Levy,ISR,1,157,46.2%,15.4%,4,4.7%,1,1.2%,52.9%,62.2%,27.5%,45.9%,13,46.2%,30.6%,2,100.0%,38.9%,0.56,1:37
,Ivo Karlovic,CRO,1,177,87.5%,0.0%,14,15.4%,5,5.5%,52.7%,79.2%,51.2%,65.9%,4,50.0%,18.6%,3,0.0%,42.9%,0.55,1:51
WC,Julien Boutter,FRA,1,171,64.3%,0.0%,4,4.3%,6,6.5%,51.1%,72.3%,37.8%,55.4%,10,50.0%,24.1%,3,0.0%,40.9%,0.54,1:52
,Bohdan Ulihrach,CZE,1,75,40.0%,0.0%,0,0.0%,6,16.7%,36.1%,46.2%,47.8%,47.2%,4,25.0%,28.2%,1,0.0%,37.3%,0.53,0:44
,Nikolay Davydenko,RUS,1,161,41.7%,8.3%,0,0.0%,4,4.2%,56.3%,53.7%,42.9%,49.0%,19,63.2%,26.2%,4,25.0%,39.8%,0.51,2:02
,Greg Rusedski,GBR,1,142,41.7%,8.3%,0,0.0%,3,4.3%,61.4%,48.8%,44.4%,47.1%,10,30.0%,26.4%,2,50.0%,36.6%,0.50,1:26
LL,Kristof Vliegen,BEL,1,128,36.4%,0.0%,0,0.0%,5,6.8%,62.2%,52.2%,39.3%,47.3%,14,50.0%,18.5%,0,-,35.2%,0.35,1:16
,All Main Draw Players,,127.0,,70.7%,29.3%,,4.7%,,4.0%,59.8%,66.9%,48.0%,59.3%,,55.3%,40.7%,,44.7%,50.0%,1.00,
