Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R32,15,(13)Juan Monaco[ARG] [yr|ev],d.,22,(19)Milos Raonic[CAN] [yr|ev],6-7(5) 6-3 6-7(5) 6-3 6-4,1.10,2.6%,77.6%,71.8%,58.1%,8/8,14.9%,54.3%,78.9%,50.0%,13/16,4:33,10
R32,2,(2)Rafael Nadal[ESP] [yr|ev],d.,192,(Q)Eduardo Schwank[ARG] [yr|ev],6-1 6-3 6-4,1.63,1.3%,59.7%,87.0%,51.6%,4/4,3.4%,65.9%,60.3%,46.7%,5/10,2:16,1
R64,1,(1)Novak Djokovic[SRB] [yr|ev],d.,99,Blaz Kavcic[SLO] [yr|ev],6-0 6-4 6-4,1.69,6.8%,67.1%,73.5%,70.8%,2/3,0.0%,64.2%,57.4%,47.1%,9/15,2:14,1
R64,286,(Q)Nicolas Devilder[FRA] [yr|ev],d.,114,(Q)Michael Berrer[GER] [yr|ev],7-6(5) 6-4 6-2,1.33,2.2%,49.5%,68.9%,65.2%,7/9,4.5%,75.3%,67.2%,22.7%,3/8,2:16,60
R64,25,(22)Andreas Seppi[ITA] [yr|ev],d.,53,Mikhail Kukushkin[KAZ] [yr|ev],6-7(5) 6-2 2-6 6-1 6-2,1.25,8.8%,57.4%,74.4%,55.2%,1/4,4.1%,58.5%,62.8%,50.8%,9/16,3:17,18
R64,16,(14)Fernando Verdasco[ESP] [yr|ev],d.,54,Gilles Muller[LUX] [yr|ev],6-7(5) 6-3 6-2 6-2,1.39,5.2%,84.3%,71.1%,55.6%,8/10,6.6%,55.7%,70.6%,38.9%,7/14,2:51,7
R64,12,(11)Gilles Simon[FRA] [yr|ev],d.,141,(WC)Brian Baker[USA] [yr|ev],6-4 6-1 6-7(4) 1-6 6-0,1.26,12.4%,59.5%,72.2%,55.1%,3/7,6.9%,59.0%,56.5%,55.9%,10/19,2:55,6
R64,21,(18)Stan Wawrinka[SUI] [yr|ev],d.,36,Pablo Andujar[ESP] [yr|ev],7-6(3) 6-7(4) 6-2 6-1,1.28,5.3%,54.5%,84.7%,50.0%,3/4,0.8%,60.9%,67.9%,48.0%,8/13,2:59,3
R64,45,Fabio Fognini[ITA] [yr|ev],d.,28,(28)Viktor Troicki[SRB] [yr|ev],6-2 3-6 4-6 6-3 8-6,1.14,2.0%,68.4%,66.3%,60.4%,9/14,4.5%,69.7%,67.6%,40.4%,6/13,3:30,9
R64,5,(5)Jo-Wilfried Tsonga[FRA] [yr|ev],d.,91,Cedrik Marcel Stebe[GER] [yr|ev],6-2 4-6 6-2 6-1,1.55,4.1%,59.8%,69.0%,61.5%,4/7,2.6%,52.6%,49.2%,45.5%,6/15,2:35,5
