Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Ernests Gulbis,LAT,2,475,83.8%,17.1%,37,14.2%,18,6.9%,58.2%,76.3%,50.5%,65.5%,23,73.9%,34.6%,15,40.0%,51.6%,1.00,5:01
,Jeremy Chardy,FRA,2,399,87.5%,17.6%,19,9.8%,3,1.6%,69.9%,74.8%,55.2%,68.9%,17,76.5%,31.1%,17,35.3%,49.4%,1.00,4:06
,Thomaz Bellucci,BRA,2,535,70.0%,29.3%,13,4.9%,6,2.3%,55.5%,65.8%,49.6%,58.6%,28,57.1%,41.2%,30,40.0%,49.7%,0.99,6:15
,Roko Karanusic,CRO,2,380,79.3%,19.4%,18,10.3%,7,4.0%,65.1%,70.2%,45.9%,61.7%,14,57.1%,38.0%,21,28.6%,48.9%,0.99,3:34
,Olivier Rochus,BEL,1,351,85.2%,15.4%,4,2.2%,4,2.2%,58.4%,67.6%,61.0%,64.9%,11,63.6%,34.9%,15,26.7%,50.7%,0.99,3:43
LL,Flavio Cipolla,ITA,3,941,67.6%,29.2%,4,0.9%,25,5.4%,67.8%,62.3%,48.0%,57.7%,43,46.5%,41.7%,52,40.4%,49.6%,0.99,11:24
,Victor Hanescu,ROU,2,484,81.6%,10.3%,22,9.1%,7,2.9%,71.9%,72.4%,52.9%,66.9%,25,72.0%,32.6%,10,40.0%,49.8%,0.99,4:51
,Jarkko Nieminen,FIN,3,765,80.0%,23.7%,15,3.7%,7,1.7%,64.1%,65.1%,54.1%,61.2%,44,72.7%,38.0%,28,50.0%,50.3%,0.98,7:51
LL,Andrey Golubev,KAZ,2,327,76.9%,22.2%,11,6.7%,14,8.5%,48.5%,71.3%,54.1%,62.4%,10,40.0%,36.4%,15,40.0%,49.5%,0.97,3:29
,Vincent Spadea,USA,1,265,73.9%,17.4%,6,4.7%,6,4.7%,57.4%,70.3%,52.7%,62.8%,11,45.5%,36.0%,6,66.7%,49.1%,0.97,2:35
